03/09/2024   11:56:29  AM|PARKING VIOLATION|25XX  KOMO MAI DR|PEARL CITY|District 3
03/09/2024   11:55:29  AM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
03/09/2024   11:51:57  AM|MVC|KALIHI ST / ASHFORD ST|KALIHI|District 5
03/09/2024   11:48:00  AM|MISC SERVICE CALL|9205XX  MAKAKILO DR|MAKAKILO|District 8
03/09/2024   11:46:33  AM|VEH TOWED|16XX  ALA WAI BLVD|WAIKIKI|District 6
03/09/2024   11:42:55  AM|THEFT|8XX  PUMEHANA ST|MCCULLY|District 7
03/09/2024   11:42:31  AM|BURGLARY VEH TAKEN|10XX  KIIONIONI LOOP|KAIMUKI|District 7
03/09/2024   11:38:30  AM|MISC SERVICE CALL|34XX  ALANI DR|MANOA|District 7
03/09/2024   11:36:42  AM|AUTO THEFT RECOVERY|KALAKAUA AVE / YOUNG ST|HONOLULU|District 1
03/09/2024   11:31:58  AM|MVC|16XX  MAKIKI ST|MAKIKI|District 1
03/09/2024   11:09:20  AM|UNATTENDED DEATH|4401XX  PUUOHALAI PL|KANEOHE|District 4
03/09/2024   10:59:35  AM|SUSP CIRCUMSTANCE|4113XX  KALANIANAOLE HWY|WAIMANALO|District 4
03/09/2024   10:55:43  AM|PROPERTY DAMAGE|9404XX  KAWELOALII ST|MILILANI|District 2
03/09/2024   10:30:44  AM|LIQUOR LAW|1XX  OHUA AVE|WAIKIKI|District 6
03/09/2024   10:08:46  AM|WARRANT ARREST|XX  KILANI AVE|WAHIAWA|District 2
