03/11/2024   09:13:08  AM|DROPPED CALL|9404XX  KALUKALU ST|WAIPAHU|District 3
03/11/2024   09:12:17  AM|NUISANCE COMPLAINT|9505XX  WIKAO ST|MILILANI|District 2
03/11/2024   09:05:59  AM|VEH TOWED|PIIKOI ST / RYCROFT ST|HONOLULU|District 1
03/11/2024   09:05:53  AM|VEH TOWED|6600XX  WAIALUA BEACH RD|HALEIWA|District 2
03/11/2024   09:05:42  AM|THEFT|XX  LAKEVIEW CIR|WAHIAWA|District 2
03/11/2024   09:05:10  AM|THEFT|4403XX  OLINA ST|KANEOHE|District 4
03/11/2024   09:04:06  AM|BURGLARY|6XX  KAILUA RD|KAILUA|District 4
03/11/2024   09:03:16  AM|COUNTERFEIT/FORGERY|9507XX  LANIKUHANA AVE|MILILANI|District 2
03/11/2024   08:56:33  AM|FAMILY OFF/NEG|3XX  KUULEI RD|KAILUA|District 4
03/11/2024   08:55:46  AM|PARKING VIOLATION|9114XX  HALAHINANO ST|KAPOLEI|District 8
03/11/2024   08:53:20  AM|SUSP PERSON|46XX  KAPOLEI PKWY|KAPOLEI|District 8
03/11/2024   08:49:27  AM|PARKING VIOLATION|9109XX  NORTH RD|EWA BEACH|District 8
03/11/2024   08:47:08  AM|HARASSMENT|12XX  KAPIOLANI BLVD|HONOLULU|District 1
03/11/2024   08:44:49  AM|THEFT|FARRINGTON HWY / KILI DR|MAKAHA|District 8
03/11/2024   08:37:49  AM|AUTO THEFT|9111XX  FD ROOSEVELT AVE|KALAELOA|District 8
03/11/2024   08:22:51  AM|WARRANT ARREST|8XX  KAILUA RD|KAILUA|District 4
03/11/2024   08:16:44  AM|FAMILY OFF/NEG|15XX  N KING ST|KALIHI|District 5
03/11/2024   08:13:39  AM|THEFT|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/11/2024   08:13:36  AM|THEFT|25XX  LEMON RD|WAIKIKI|District 6
03/11/2024   08:11:34  AM|FRAUD|4704XX  HUI IO ST|KANEOHE|District 4
03/11/2024   07:10:34  AM|MISC PUB|46XX  KALANIANAOLE HWY|WAIALAE|District 7
03/11/2024   06:57:04  AM|HARASSMENT|8701XX  AUYONG HMSTD RD|NANAKULI|District 8
03/11/2024   06:56:45  AM|HARASSMENT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
03/11/2024   06:55:10  AM|THEFT|5104XX  KAM HWY|KAAAWA|District 4
03/11/2024   06:46:25  AM|RUNAWAY CXL|3XX  HOBRON LN|WAIKIKI|District 6
03/11/2024   06:15:57  AM|HARASSMENT|32XX  AHINAHINA PL|KAIMUKI|District 7
03/11/2024   05:43:15  AM|WARRANT ARREST|19XX  PACIFIC HTS RD|PUNCHBOWL|District 1
