03/12/2024   16:43:35  PM|ARGUMENT FAMILY|5XX  KAWAIHAE ST|HAWAII KAI|District 7
03/12/2024   16:42:32  PM|UEMV|13XX  LUSITANA ST|HONOLULU|District 1
03/12/2024   16:33:21  PM|ORDER VIOLATION|5401XX  KAWAEKU ST|HAUULA|District 4
03/12/2024   16:24:56  PM|ICF/SCF|9402XX  KAIHOLENA PL|WAIPAHU|District 3
03/12/2024   16:22:52  PM|FRAUD|23XX  ALA WAI BLVD|WAIKIKI|District 6
03/12/2024   16:11:36  PM|MVC|XX  KALAKA PL|KAILUA|District 4
03/12/2024   16:08:32  PM|MISC PUB|9800XX  LII IPO ST|AIEA|District 3
03/12/2024   16:06:11  PM|MISC PUB|1XX  AIKAHI LOOP|KAILUA|District 4
03/12/2024   16:00:55  PM|MVC|MERCHANT ST / NUUANU AVE|DOWNTOWN|District 1
03/12/2024   15:52:29  PM|MISC PUB|9XX  S BERETANIA ST|HONOLULU|District 1
03/12/2024   15:47:28  PM|SIMPLE ASSAULT|9112XX  RENTON RD|EWA BEACH|District 8
03/12/2024   15:32:29  PM|THEFT|9900XX  KAUHALE ST|AIEA|District 3
03/12/2024   15:30:25  PM|THEFT|9810XX  MOANALUA RD|AIEA|District 3
03/12/2024   15:10:23  PM|FAMILY OFF/NEG|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/12/2024   15:07:49  PM|HARASSMENT|13XX  PALI HWY|DOWNTOWN|District 1
03/12/2024   14:59:52  PM|AUTO THEFT RECOVERY|13XX  LUSITANA ST|HONOLULU|District 1
03/12/2024   14:32:49  PM|FOLLOW UP|6601XX  OLIANA PL|WAIALUA|District 2
03/12/2024   13:10:50  PM|WARRANT ARREST|8504XX  FARRINGTON HWY|WAIANAE|District 8
