03/12/2024   20:59:01  PM|SUSP CIRCUMSTANCE|4509XX  KEAAHALA PL|KANEOHE|District 4
03/12/2024   20:57:27  PM|THEFT|9801XX  KAONOHI ST|AIEA|District 3
03/12/2024   20:56:51  PM|MISC PUB|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/12/2024   20:55:49  PM|SIMPLE ASSAULT|8901XX  FARRINGTON HWY|NANAKULI|District 8
03/12/2024   20:50:27  PM|ARGUMENT|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/12/2024   20:46:47  PM|ICF/SCF|8603XX  HOKUUKALI PL|WAIANAE|District 8
03/12/2024   20:43:52  PM|THEFT|5XX  QUEEN ST|HONOLULU|District 1
03/12/2024   20:35:57  PM|ICF/SCF|9110XX  KAIAU AVE|KAPOLEI|District 8
03/12/2024   20:31:11  PM|WARRANT ARREST|NOHONANI ST / KUHIO AVE|WAIKIKI|District 6
03/12/2024   19:45:16  PM|VEH TOWED|IROQUOIS RD / FORT WEAVER RD|EWA BEACH|District 8
03/12/2024   14:32:49  PM|FOLLOW UP|6601XX  OLIANA PL|WAIALUA|District 2
