03/14/2024   06:40:08  AM|INDECENT EXPOSURE|N CANE ST / CENTER ST|WAHIAWA|District 2
03/14/2024   06:39:56  AM|MISC CRIME OFFENSE|ALA WAI BLVD / LAUNIU ST|WAIKIKI|District 6
03/14/2024   06:39:36  AM|UEMV|9813XX  KAAHUMANU ST|AIEA|District 3
03/14/2024   06:39:22  AM|MVC|8909XX  NANAKULI AVE|NANAKULI|District 8
03/14/2024   06:39:14  AM|MVC VEH TOWED|9406XX  LUMIAINA ST|WAIPIO|District 3
03/14/2024   06:38:27  AM|UEMV|10XX  KAM HWY|PEARL CITY|District 3
03/14/2024   06:38:16  AM|SUSP PERSON|XX  ILIAHI ST|NUUANU|District 5
03/14/2024   06:26:04  AM|SUSP CIRCUMSTANCE|8901XX  FARRINGTON HWY|NANAKULI|District 8
03/14/2024   06:24:02  AM|FOUND PROPERTY|48XX  KILAUEA AVE|WAIALAE|District 7
03/14/2024   06:20:11  AM|MISC PUB|5104XX  KAM HWY|KAAAWA|District 4
03/14/2024   06:18:26  AM|AGGRAVATED ASSAULT|30XX  MONSARRAT AVE|WAIKIKI|District 6
03/14/2024   06:16:15  AM|PARKING VIOLATION|4505XX  PAHIA RD|KANEOHE|District 4
03/14/2024   06:13:27  AM|FOLLOW UP|27XX  S KING ST|MCCULLY|District 7
03/14/2024   06:11:19  AM|MISC PUB|8501XX  ALA HEMA ST|WAIANAE|District 8
03/14/2024   06:10:38  AM|FRAUD|9XX  LOLENA ST|KALIHI|District 5
03/14/2024   06:08:12  AM|THEFT|9209XX  PANANA ST|MAKAKILO|District 8
03/14/2024   05:40:10  AM|ORDER VIOLATION|9409XX  HANAUNA ST|WAIPAHU|District 3
03/14/2024   05:33:48  AM|UNATTENDED DEATH|4707XX  HUI ULILI ST|KANEOHE|District 4
03/14/2024   04:55:11  AM|BURGLARY|4112XX  KALANIANAOLE HWY|WAIMANALO|District 4
03/14/2024   03:17:03  AM|THEFT|8XX  WAKEA ST|KAPOLEI|District 8
