03/21/2024   23:37:34  PM|CONSTRUCTION NOISE|5801XX  WEHIWA PL|SUNSET|District 2
03/21/2024   23:37:13  PM|AUTO THEFT|LUNALILO ST / PIIKOI ST|MAKIKI|District 1
03/21/2024   23:37:12  PM|AUTO THEFT RECOVERY|PUULOA RD / MAPUNAPUNA PL|MAPUNAPUNA|District 5
03/21/2024   23:36:26  PM|MVC|H3E KAM OFF|KANEOHE|District 4
03/21/2024   23:31:43  PM|LIC PLATE THEFT|31XX  BROKAW ST|KAPAHULU|District 7
03/21/2024   23:31:26  PM|MISC PUB|12XX  N SCHOOL ST|KALIHI|District 5
03/21/2024   23:24:50  PM|DUI|PAIWA ST / LUMIAINA ST|WAIPIO|District 3
03/21/2024   23:16:03  PM|WARRANT ARREST|ALOHIKEA ST / KAPOLEI PKWY|KAPOLEI|District 8
03/21/2024   23:03:34  PM|MISSING PERSON CXL|9109XX  FORT WEAVER RD|EWA BEACH|District 8
03/21/2024   22:44:24  PM|MVC VEH TOWED|4705XX  KAM HWY|KAHALUU|District 4
03/21/2024   22:43:25  PM|WARRANT ARREST|9402XX  WAIPAHU ST|WAIPAHU|District 3
03/21/2024   22:11:32  PM|FOLLOW UP|WAIPIO POINT ACC RD / KAHUALII ST|WAIPAHU|District 3
03/21/2024   21:56:02  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/21/2024   21:00:41  PM|SEX ASSAULT|9XX  PROSPECT ST|MAKIKI|District 1
