03/23/2024   09:13:07  AM|MISC SERVICE CALL|14XX  PENSACOLA ST|MAKIKI|District 1
03/23/2024   09:10:00  AM|TRAFFIC COMPLAINT|1XX  H1E FWY|AIEA|District 3
03/23/2024   09:09:48  AM|WEAPONS|9105XX  FORT WEAVER RD|EWA BEACH|District 8
03/23/2024   09:03:47  AM|NOISE COMPLAINT|2XX  NENUE ST|AINA HAINA|District 7
03/23/2024   08:59:01  AM|WARRANT ARREST|22XX  AKEUKEU ST|PEARL CITY|District 3
03/23/2024   08:55:43  AM|STALLED/HAZARD VEH|1XX  H1W FWY|KALIHI|District 5
03/23/2024   08:52:33  AM|THEFT|5504XX  KAM HWY|LAIE|District 4
03/23/2024   08:38:15  AM|AUTO THEFT RECOVERY|19XX  PAUOA RD|NUUANU|District 5
03/23/2024   08:33:25  AM|MISC PUB|4XX  KEONIANA ST|WAIKIKI|District 6
03/23/2024   08:25:10  AM|UNATTENDED DEATH|4102XX  NAKINI ST|WAIMANALO|District 4
03/23/2024   08:03:49  AM|THEFT|6XX  CALIFORNIA AVE|WAHIAWA|District 2
03/23/2024   07:51:18  AM|AUTO THEFT RECOVERY|62XX  IBIS AVE|IROQUOIS|District 8
03/23/2024   07:49:42  AM|UNATTENDED DEATH|6XX  ULUKAHIKI ST|KAILUA|District 4
03/23/2024   07:17:23  AM|VEH TOWED|9XX  AKEPO LN|KALIHI|District 5
03/23/2024   07:12:20  AM|UNATTENDED DEATH|4106XX  MEKIA ST|WAIMANALO|District 4
