03/24/2024   13:43:31  PM|FOLLOW UP|22XX  HIU ST|KALIHI|District 5
03/24/2024   13:42:32  PM|PARKING VIOLATION|2XX  N KALAHEO AVE|KAILUA|District 4
03/24/2024   13:34:39  PM|THREATENING|15XX  ULUHAO ST|KAILUA|District 4
03/24/2024   13:31:55  PM|HARASSMENT|8721XX  FARRINGTON HWY|NANAKULI|District 8
03/24/2024   13:30:11  PM|NUISANCE COMPLAINT|5104XX  KAM HWY|KAAAWA|District 4
03/24/2024   13:28:02  PM|MVC VEH TOWED|5XX  S KING ST|HONOLULU|District 1
03/24/2024   13:23:29  PM|THREATENING|9116XX  PAHIKA ST|EWA BEACH|District 8
03/24/2024   13:21:09  PM|MISC SERVICE CALL|KAIMAKE LOOP / KAHA ST|KAILUA|District 4
03/24/2024   13:16:27  PM|UEMV|45XX  KAHALA AVE|KAHALA|District 7
03/24/2024   13:11:45  PM|PARKING VIOLATION|1XX  KAELEPULU DR|KAILUA|District 4
03/24/2024   13:10:52  PM|MVC|4504XX  KANEOHE BAY DR|KANEOHE|District 4
03/24/2024   13:03:51  PM|MVC|2XX  HAWAII LOA ST|AINA HAINA|District 7
03/24/2024   13:03:25  PM|MVC|8XX  KAHEKA ST|HONOLULU|District 1
03/24/2024   11:13:15  AM|UNATTENDED DEATH|9401XX  PUPUKAHI ST|WAIPAHU|District 3
03/24/2024   10:44:39  AM|UNATTENDED DEATH|XX  MALUNIU AVE|KAILUA|District 4
