04/01/2024   14:13:23  PM|TRESPASS|9409XX  WAIPAHU ST|WAIPAHU|District 3
04/01/2024   14:11:30  PM|UEMV|8XX  QUEEN ST|HONOLULU|District 1
04/01/2024   14:11:22  PM|MEDICAL ASSIST|19XX  YOUNG ST|MCCULLY|District 7
04/01/2024   14:10:57  PM|STALLED/HAZARD VEH|2XX  W MOANALUA FWY|MOANALUA V|District 5
04/01/2024   14:10:34  PM|SUSP CIRCUMSTANCE|22XX  LILIHA ST|NUUANU|District 5
04/01/2024   14:10:20  PM|MISC SERVICE CALL|9XX  S BERETANIA ST|HONOLULU|District 1
04/01/2024   14:09:32  PM|LOST PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/01/2024   14:04:11  PM|NUISANCE COMPLAINT|17XX  S KING ST|MCCULLY|District 7
04/01/2024   13:59:32  PM|VEH TOWED|PAU ST / ALA WAI BLVD|WAIKIKI|District 6
04/01/2024   13:58:16  PM|MISC PUB|18XX  KALAKAUA AVE|MCCULLY|District 7
04/01/2024   13:53:08  PM|MVC VEH TOWED|KAM HWY / POHAKU LOA WAY|HALEIWA|District 2
04/01/2024   13:50:21  PM|NUISANCE COMPLAINT|13XX  N SCHOOL ST|KALIHI|District 5
04/01/2024   13:46:49  PM|WARRANT ARREST|8XX  CALIFORNIA AVE|WAHIAWA|District 2
04/01/2024   13:39:35  PM|SIMPLE ASSAULT|2XX  KUULEI RD|KAILUA|District 4
04/01/2024   13:35:00  PM|MISC PUB|8901XX  FARRINGTON HWY|NANAKULI|District 8
04/01/2024   13:30:38  PM|MISC PUB|10XX  ISENBERG ST|MCCULLY|District 7
04/01/2024   13:30:15  PM|HARASSMENT|8901XX  MANO AVE|NANAKULI|District 8
04/01/2024   13:28:55  PM|MVC|2XX  KEAHOLE ST|HAWAII KAI|District 7
04/01/2024   13:26:52  PM|MISSING PERSON|5XX  PUUHALE RD|KALIHI|District 5
04/01/2024   13:12:12  PM|FAMILY OFF/NEG|4700XX  KAM HWY|KANEOHE|District 4
04/01/2024   13:11:23  PM|WARRANT ARREST|19XX  KALAKAUA AVE|WAIKIKI|District 6
04/01/2024   13:05:36  PM|SEX ASSAULT|17XX  UNIVERSITY AVE|MANOA|District 7
04/01/2024   13:02:41  PM|FOUND PROPERTY|23XX  ALA WAI BLVD|WAIKIKI|District 6
04/01/2024   12:55:05  PM|THEFT|5XX  ALA MOANA BLVD|KAKAAKO|District 1
04/01/2024   12:53:18  PM|UNATTENDED DEATH|11XX  WAIMANU ST|HONOLULU|District 1
04/01/2024   12:30:14  PM|WARRANT ARREST|18XX  KAM IV RD|KALIHI|District 5
04/01/2024   12:17:37  PM|FAMILY OFF/NEG|11XX  KAILUA RD|KAILUA|District 4
04/01/2024   11:56:56  AM|TRAFFIC CONTROL DEVICE|FORT WEAVER RD / RENTON RD|EWA BEACH|District 8
04/01/2024   11:21:14  AM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
04/01/2024   11:17:43  AM|MISC PUB|32XX  GEORGE ST|KAPAHULU|District 7
04/01/2024   11:01:49  AM|DRUGS/NARCOTICS|51XX  PALI HWY|NUUANU|District 5
04/01/2024   08:08:15  AM|FRAUD|9114XX  FORT WEAVER RD|EWA BEACH|District 8
