04/02/2024   21:57:40  PM|HARASSMENT|32XX  WAIALAE AVE|KAIMUKI|District 7
04/02/2024   21:53:03  PM|TRESPASS WARN|3XX  ROYAL HAWAIIAN AVE|WAIKIKI|District 6
04/02/2024   21:51:27  PM|ARGUMENT|3XX  HOOMALU ST|PEARL CITY|District 3
04/02/2024   21:50:42  PM|FOLLOW UP|15XX  NUUANU AVE|DOWNTOWN|District 1
04/02/2024   21:44:04  PM|PARKING VIOLATION|29XX  ALA ILIMA|SALT LAKE|District 5
04/02/2024   21:41:56  PM|VEH TOWED|25XX  ROSE ST|KALIHI|District 5
04/02/2024   21:34:59  PM|ICF/SCF|23XX  KALAKAUA AVE|WAIKIKI|District 6
04/02/2024   21:33:04  PM|VEH TOWED|KILIHAU ST / KAKOI ST|MAPUNAPUNA|District 5
04/02/2024   21:16:24  PM|MVC|12XX  S KING ST|HONOLULU|District 1
04/02/2024   21:14:02  PM|THREATENING|23XX  AHAPULE ST|PEARL CITY|District 3
04/02/2024   17:53:52  PM|FAMILY OFF/NEG|3XX  BRANNON RD|SCHOFIELD|District 2
