04/06/2024   14:11:48  PM|MISC SERVICE CALL|9901XX  KALALOA ST|AIEA|District 3
04/06/2024   14:07:43  PM|SUSP CIRCUMSTANCE|5403XX  KAM HWY|HAUULA|District 4
04/06/2024   14:07:41  PM|PARKING VIOLATION|8605XX  LUALUALEI HMSTD RD|WAIANAE|District 8
04/06/2024   14:03:56  PM|RUNAWAY CXL|15XX  LINAPUNI ST|KALIHI|District 5
04/06/2024   14:02:23  PM|UEMV|15XX  N SCHOOL ST|KALIHI|District 5
04/06/2024   14:02:05  PM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
04/06/2024   14:00:33  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
04/06/2024   13:54:15  PM|FOUND PROPERTY|4XX  PIIKOI ST|HONOLULU|District 1
04/06/2024   13:44:06  PM|THEFT|4502XX  WAIKALUA RD|KANEOHE|District 4
04/06/2024   13:38:33  PM|SUSP CIRCUMSTANCE|9501XX  KIPAPA DR|MILILANI|District 2
04/06/2024   13:14:02  PM|RUNAWAY|2XX  QUEEN ST|DOWNTOWN|District 1
04/06/2024   13:08:29  PM|UEMV|8504XX  WAIANAE VALLEY RD|WAIANAE|District 8
04/06/2024   12:41:58  PM|WARRANT ARREST|26XX  KALAKAUA AVE|WAIKIKI|District 6
