04/12/2024   22:58:17  PM|SIMPLE ASSAULT|6XX  UNIVERSITY AVE|MCCULLY|District 7
04/12/2024   22:58:01  PM|MISC SERVICE CALL|8602XX  KAWILI ST|WAIANAE|District 8
04/12/2024   22:56:39  PM|TRAFFIC STOP|1XX  H1W FWY|PEARL CITY|District 3
04/12/2024   22:52:22  PM|LOUD PARTY|9110XX  KAUNOLU ST|EWA BEACH|District 8
04/12/2024   22:46:43  PM|CONSTRUCTION NOISE|11XX  KAILI ST|KALIHI|District 5
04/12/2024   22:46:42  PM|FRAUD|8XX  SOUTH ST|HONOLULU|District 1
04/12/2024   22:39:07  PM|SUSP CIRCUMSTANCE|5XX  GRAHAM CT|HALE MOKU|District 5
04/12/2024   22:29:19  PM|ARGUMENT|5700XX  KAM HWY|KAHUKU|District 4
04/12/2024   22:25:30  PM|TRESPASS WARN|8901XX  FARRINGTON HWY|NANAKULI|District 8
04/12/2024   21:38:41  PM|FAMILY OFF/NEG|3XX  WARD AVE|HONOLULU|District 1
04/12/2024   18:55:06  PM|HARASSMENT|12XX  N SCHOOL ST|KALIHI|District 5
