04/21/2024   21:10:45  PM|PARKING VIOLATION|12XX  MATLOCK AVE|HONOLULU|District 1
04/21/2024   21:09:37  PM|SUSP PERSON|4407XX  KANEOHE BAY DR|KANEOHE|District 4
04/21/2024   21:07:22  PM|NOISE COMPLAINT|4108XX  KALANIANAOLE HWY|WAIMANALO|District 4
04/21/2024   20:48:30  PM|PROPERTY DAMAGE|32XX  ESTHER ST|KAPAHULU|District 7
04/21/2024   20:43:10  PM|VEH TOWED|4605XX  KAM HWY|KANEOHE|District 4
04/21/2024   20:35:17  PM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
04/21/2024   20:35:01  PM|RUNAWAY|9403XX  KAHUAWAI ST|WAIPAHU|District 3
04/21/2024   20:22:37  PM|FAMILY OFF/NEG|14XX  ALEXANDER ST|MANOA|District 7
04/21/2024   20:19:38  PM|MISC SERVICE CALL|27XX  S KING ST|MCCULLY|District 7
04/21/2024   20:19:22  PM|MVC VEH TOWED|20XX  N SCHOOL ST|KALIHI|District 5
04/21/2024   19:24:33  PM|SIMPLE ASSAULT|8514XX  KOOLINA ST|WAIANAE|District 8
04/21/2024   19:20:59  PM|MVC|6702XX  KIAPOKO ST|MOKULEIA|District 2
04/21/2024   19:18:48  PM|AGGRAVATED ASSAULT|9110XX  KAILEONUI ST|EWA BEACH|District 8
