04/29/2024   15:42:50  PM|VEH TOWED|26XX  KALAKAUA AVE|WAIKIKI|District 6
04/29/2024   15:42:10  PM|STALLED/HAZARD VEH|ALAKAWA ST / N NIMITZ HWY|KALIHI|District 5
04/29/2024   15:42:07  PM|TRAFFIC STOP|NUUANU AVE / N BERETANIA ST|DOWNTOWN|District 1
04/29/2024   15:40:18  PM|THEFT|9810XX  MOANALUA RD|AIEA|District 3
04/29/2024   15:40:09  PM|FOLLOW UP|15XX  ALA HAHANUI|SALT LAKE|District 5
04/29/2024   15:29:37  PM|FOLLOW UP|10XX  ALAHAKI ST|KAILUA|District 4
04/29/2024   15:28:11  PM|AUTO THEFT|35XX  PUUKU MAKAI DR|ALIAMANU|District 5
04/29/2024   15:27:35  PM|NUISANCE COMPLAINT|13XX  PENSACOLA ST|HONOLULU|District 1
04/29/2024   15:26:02  PM|FOUND PROPERTY|6602XX  KAM HWY|HALEIWA|District 2
04/29/2024   15:22:59  PM|FOLLOW UP|5502XX  POOHAILI ST|LAIE|District 4
04/29/2024   15:00:26  PM|LIC PLATE THEFT CXL|4803XX  WAIKANE VALLEY RD|KAHALUU|District 4
04/29/2024   14:59:51  PM|FOLLOW UP|64XX  WOODWARD CT|MCBH|District 4
04/29/2024   14:56:59  PM|FAMILY OFF/NEG|9112XX  HANALOA ST|EWA BEACH|District 8
04/29/2024   14:55:32  PM|DRUGS/NARCOTICS|N VINEYARD BLVD / MAUNAKEA ST|DOWNTOWN|District 1
04/29/2024   14:49:42  PM|FOLLOW UP|10XX  BISHOP ST|DOWNTOWN|District 1
04/29/2024   14:45:58  PM|MISC PUB|9903XX  MOANALUA RD|AIEA|District 3
04/29/2024   14:40:16  PM|MISC PUB|8509XX  FARRINGTON HWY|WAIANAE|District 8
04/29/2024   14:32:23  PM|MVC VEH TOWED|15XX  THURSTON AVE|MAKIKI|District 1
04/29/2024   14:11:41  PM|FOLLOW UP|11XX  ALAKEA ST|DOWNTOWN|District 1
04/29/2024   14:10:28  PM|UEMV|8XX  ALA LILIKOI ST|SALT LAKE|District 5
04/29/2024   14:04:51  PM|FOLLOW UP|7XX  WILIKINA DR|WAHIAWA|District 2
04/29/2024   14:01:25  PM|UNATTENDED DEATH|10XX  KUALA ST|PEARL CITY|District 3
04/29/2024   13:46:35  PM|RUNAWAY|9401XX  ANANIA DR|MILILANI|District 2
04/29/2024   12:39:46  PM|WARRANT ARREST|8XX  S BERETANIA ST|HONOLULU|District 1
04/29/2024   11:58:25  AM|UNATTENDED DEATH|8XX  3RD ST|PEARL CITY|District 3
