04/29/2024   23:56:39  PM|ARGUMENT FAMILY|18XX  CITRON ST|MCCULLY|District 7
04/29/2024   23:56:24  PM|VEH TOWED|3XX  LEWERS ST|WAIKIKI|District 6
04/29/2024   23:51:00  PM|DUI|PENSACOLA ST / S BERETANIA ST|HONOLULU|District 1
04/29/2024   23:44:58  PM|STALLED VEH|XX  H1E FWY|PEARL CITY|District 3
04/29/2024   23:43:53  PM|PARKING VIOLATION|KANOA ST / BANYAN ST|KALIHI|District 5
04/29/2024   23:43:08  PM|FAMILY OFF/NEG|WILIKINA DR / KUNIA RD|WAHIAWA|District 2
04/29/2024   23:32:24  PM|MVC VEH TOWED|9808XX  MOANALUA RD|AIEA|District 3
04/29/2024   23:26:40  PM|ROBBERY|XX  N HOTEL ST|DOWNTOWN|District 1
04/29/2024   23:25:02  PM|SIMPLE ASSAULT|4XX  ATKINSON DR|ALA MOANA|District 1
04/29/2024   23:14:42  PM|NOISE COMPLAINT|29XX  ROUND TOP DR|MAKIKI|District 1
04/29/2024   22:55:35  PM|AGGRAVATED ASSAULT|22XX  KAULULAAU ST|PUNCHBOWL|District 1
04/29/2024   22:43:02  PM|VEH TOWED|AVOCADO ST / WALKER AVE|WAHIAWA|District 2
04/29/2024   21:29:35  PM|ORDER VIOLATION|3XX  MALA ST|WAHIAWA|District 2
