05/04/2024   07:13:28  AM|PROPERTY DAMAGE|31XX  N NIMITZ HWY|AIRPORT|District 5
05/04/2024   07:10:52  AM|PARKING VIOLATION|PORTLOCK RD / LUNALILO HOME RD|HAWAII KAI|District 7
05/04/2024   07:06:30  AM|MISC CRIME OFFENSE|8707XX  FARRINGTON HWY|MAILI|District 8
05/04/2024   07:03:59  AM|FOLLOW UP|13XX  NUUANU AVE|DOWNTOWN|District 1
05/04/2024   07:01:24  AM|FOLLOW UP|53XX  HIND PL|AINA HAINA|District 7
05/04/2024   06:50:44  AM|THEFT|9209XX  MAKAKILO DR|MAKAKILO|District 8
05/04/2024   06:45:49  AM|VEH TOWED|4XX  NIU ST|WAIKIKI|District 6
05/04/2024   06:24:52  AM|AGGRAVATED ASSAULT|6XX  ULUKAHIKI ST|KAILUA|District 4
05/04/2024   06:24:02  AM|SUSP CIRCUMSTANCE|5601XX  PUULUANA PL|KAHUKU|District 4
05/04/2024   06:22:19  AM|UNATTENDED DEATH|9121XX  FORT WEAVER RD|EWA BEACH|District 8
05/04/2024   05:55:02  AM|HARASSMENT|5104XX  KAM HWY|KAAAWA|District 4
