05/04/2024   22:07:20  PM|LOUD PARTY|3XX  LILIUOKALANI AVE|WAIKIKI|District 6
05/04/2024   22:07:13  PM|NUISANCE COMPLAINT|5105XX  KAM HWY|KAAAWA|District 4
05/04/2024   22:05:54  PM|FAMILY OFF/NEG|10XX  KOKO UKA PL|HAWAII KAI|District 7
05/04/2024   22:03:03  PM|FOLLOW UP|7XX  KEEAUMOKU ST|HONOLULU|District 1
05/04/2024   21:54:34  PM|MISC SERVICE CALL|5305XX  KAM HWY|PUNALUU|District 4
05/04/2024   21:50:26  PM|ICF/SCF|9162XX  KAPOLEI PKWY|EWA BEACH|District 8
05/04/2024   21:37:05  PM|FAMILY OFF/NEG|9401XX  FARRINGTON HWY|WAIPAHU|District 3
05/04/2024   21:33:25  PM|ROBBERY VEH CXL|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
05/04/2024   21:15:33  PM|RAPE|13XX  PUNAHOU ST|MCCULLY|District 7
05/04/2024   21:15:08  PM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
05/04/2024   20:25:03  PM|HARASSMENT|4115XX  KALANIANAOLE HWY|WAIMANALO|District 4
05/04/2024   19:54:11  PM|ROBBERY|14XX  LILIHA ST|DOWNTOWN|District 1
05/04/2024   19:31:15  PM|DUI|MCNEILL ST / WAIAKAMILO RD|KALIHI|District 5
