05/05/2024   10:28:42  AM|PARKING VIOLATION|33XX  CAMPBELL AVE|KAPAHULU|District 7
05/05/2024   10:27:35  AM|MISC SERVICE CALL|15XX  HOOLANA ST|PEARL CITY|District 3
05/05/2024   10:26:33  AM|DROPPED CALL|1XX  N KING ST|DOWNTOWN|District 1
05/05/2024   10:26:27  AM|MISC PUB|H3W LOOKOUT|KANEOHE|District 4
05/05/2024   10:25:05  AM|ARGUMENT|18XX  KALAKAUA AVE|ALA MOANA|District 1
05/05/2024   10:24:21  AM|FOLLOW UP|6XX  WAIPA LN|KALIHI|District 5
05/05/2024   10:23:51  AM|PROPERTY DAMAGE|20XX  N KING ST|KALIHI|District 5
05/05/2024   10:18:07  AM|NUISANCE COMPLAINT|XX  N VINEYARD BLVD|DOWNTOWN|District 1
05/05/2024   10:14:17  AM|MISC SERVICE CALL|12XX  KINAU ST|HONOLULU|District 1
05/05/2024   10:08:28  AM|SUSP CIRCUMSTANCE|4904XX  KAM HWY|KAHALUU|District 4
05/05/2024   09:53:44  AM|WARRANT ARREST|3XX  N CANE ST|WAHIAWA|District 2
05/05/2024   09:20:59  AM|THREATENING|42XX  BOUGAINVILLE AVE|KALAELOA|District 8
05/05/2024   08:52:03  AM|DEFIB CALL|9403XX  PAIWA ST|WAIPAHU|District 3
