05/10/2024   17:26:24  PM|ARGUMENT|5906XX  PUPUKEA RD|SUNSET|District 2
05/10/2024   17:24:13  PM|MISC SERVICE CALL|9210XX  PALAHIA ST|MAKAKILO|District 8
05/10/2024   17:19:27  PM|JUVENILE NUISANCE|4113XX  KALANIANAOLE HWY|WAIMANALO|District 4
05/10/2024   17:11:23  PM|THEFT|11XX  S BERETANIA ST|HONOLULU|District 1
05/10/2024   17:02:41  PM|MVC|E MANOA RD / DORIS PL|MANOA|District 7
05/10/2024   17:01:56  PM|NOISE COMPLAINT|XX  KIHAPAI ST|KAILUA|District 4
05/10/2024   16:57:51  PM|ORDER VIOLATION|9801XX  LIPOA PL|AIEA|District 3
05/10/2024   16:55:08  PM|MISC PUB|9404XX  HAPANUI PL|WAIPAHU|District 3
05/10/2024   16:53:57  PM|DEFIB CALL|65XX  HAWAII KAI DR|HAWAII KAI|District 7
05/10/2024   16:36:02  PM|MISC PUB|11XX  KUPAU ST|KAILUA|District 4
05/10/2024   16:12:57  PM|MISC CRIME OFFENSE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
05/10/2024   14:21:30  PM|FOLLOW UP|10XX  AUAHI ST|HONOLULU|District 1
05/10/2024   10:58:33  AM|MVC|AUIKI ST / SAND ISLAND ACC RD|KALIHI|District 5
