05/12/2024   22:48:30  PM|VEH TOWED|1XX  KAPAHULU AVE|WAIKIKI|District 6
05/12/2024   22:46:59  PM|MISC PUB|XX  H1E FWY|EWA BEACH|District 8
05/12/2024   22:46:54  PM|NUISANCE COMPLAINT|23XX  KANEALII AVE|PUNCHBOWL|District 1
05/12/2024   22:36:45  PM|MISC CRIME OFFENSE|9XX  AKUMU ST|KAILUA|District 4
05/12/2024   22:36:44  PM|NOISE COMPLAINT|19XX  HOMERULE ST|KALIHI|District 5
05/12/2024   22:33:08  PM|STALLED/HAZARD VEH|MEHEULA PKWY / KUAHELANI AVE|MILILANI|District 2
05/12/2024   22:26:53  PM|MVC VEH TOWED|S SCHOOL ST / NUUANU AVE|NUUANU|District 5
05/12/2024   22:20:23  PM|MISSING PERSON|19XX  EAMES ST|WAHIAWA|District 2
05/12/2024   22:15:43  PM|MISC PUB|9800XX  LII IPO ST|AIEA|District 3
05/12/2024   22:12:36  PM|FAMILY OFF/NEG|4700XX  LAENANI DR|KANEOHE|District 4
05/12/2024   21:57:38  PM|MISC CRIME OFFENSE|4701XX  WAIHEE RD|KAHALUU|District 4
05/12/2024   18:35:21  PM|MVC VEH TOWED|N NIMITZ HWY / VALKENBURGH ST|AIRPORT|District 5
05/12/2024   18:06:13  PM|THREATENING|19XX  HANU LN|KALIHI|District 5
