05/18/2024   18:41:23  PM|DRUGS/NARCOTICS|24XX  KUHIO AVE|WAIKIKI|District 6
05/18/2024   18:39:00  PM|MISC PUB|4511XX  KAM HWY|KANEOHE|District 4
05/18/2024   18:36:00  PM|TRESPASS WARN|42XX  WAIALAE AVE|KAIMUKI|District 7
05/18/2024   18:33:31  PM|UEMV|97XX  KALANIANAOLE HWY|HAWAII KAI|District 7
05/18/2024   18:32:49  PM|SUSP CIRCUMSTANCE|8XX  MOANIALA ST|AINA HAINA|District 7
05/18/2024   18:31:43  PM|FIRE CALL|5XX  KAPAHULU AVE|KAPAHULU|District 7
05/18/2024   18:31:22  PM|THEFT|17XX  S KING ST|MCCULLY|District 7
05/18/2024   18:29:06  PM|TRAFFIC CONTROL DEVICE|KAPAHULU AVE / WINAM AVE|KAPAHULU|District 7
05/18/2024   18:27:37  PM|FOLLOW UP|2XX  N KUAKINI ST|NUUANU|District 5
05/18/2024   18:27:12  PM|MVC VEH TOWED|DATE ST / MAHIAI ST|MCCULLY|District 7
05/18/2024   18:23:00  PM|MISC SERVICE CALL|9110XX  AEOIA ST|EWA BEACH|District 8
05/18/2024   18:16:42  PM|FAMILY OFF/NEG|9XX  LUEHU ST|PEARL CITY|District 3
05/18/2024   17:47:01  PM|FAMILY OFF/NEG|9112XX  ONOHIULA ST|EWA BEACH|District 8
