05/19/2024   17:39:34  PM|JUVENILE NUISANCE|14XX  KEEAUMOKU ST|MAKIKI|District 1
05/19/2024   17:38:58  PM|DROPPED CALL|8405XX  MANUKU ST|MAKAHA|District 8
05/19/2024   17:27:50  PM|FAMILY OFF/NEG|4XX  ENA RD|WAIKIKI|District 6
05/19/2024   17:25:34  PM|NUISANCE COMPLAINT|6702XX  KUPAHU ST|WAIALUA|District 2
05/19/2024   17:22:05  PM|TRESPASS|9114XX  MIULA ST|EWA BEACH|District 8
05/19/2024   17:13:29  PM|MVC|11XX  WAIHOLO PL|KAHALA|District 7
05/19/2024   17:12:12  PM|MISC SERVICE CALL|17XX  WILDER AVE|MANOA|District 7
05/19/2024   17:10:56  PM|TRESPASS WARN|8508XX  FARRINGTON HWY|WAIANAE|District 8
05/19/2024   17:07:39  PM|PARKING VIOLATION|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/19/2024   16:44:58  PM|MISC PUB|9518XX  MEHEULA PKWY|MILILANI|District 2
05/19/2024   14:41:54  PM|FOLLOW UP|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
05/19/2024   10:42:31  AM|BURGLARY|33XX  WAUKE ST|KAPAHULU|District 7
05/19/2024   10:00:41  AM|RECKLESS ENDANGERING|4704XX  MAHAKEA RD|KAHALUU|District 4
