05/22/2024   07:44:05  AM|MISC PUB|9410XX  LUMIAINA ST|WAIPIO|District 3
05/22/2024   07:42:59  AM|MVC|PUUHALE RD / INDUSTRIAL RD|KALIHI|District 5
05/22/2024   07:42:19  AM|ICF/SCF|KALAKAUA AVE / ULUNIU AVE|WAIKIKI|District 6
05/22/2024   07:38:40  AM|FOUND PROPERTY|4904XX  KAM HWY|KAHALUU|District 4
05/22/2024   07:37:20  AM|SUSP CIRCUMSTANCE|25XX  CARTWRIGHT RD|WAIKIKI|District 6
05/22/2024   07:33:56  AM|LIC PLATE THEFT|42XX  DIAMOND HEAD RD|KAHALA|District 7
05/22/2024   07:32:08  AM|PARKING VIOLATION|HIHIWAI ST / UNIVERSITY AVE|MCCULLY|District 7
05/22/2024   07:31:55  AM|UEMV|74XX  KALANIANAOLE HWY|HAWAII KAI|District 7
05/22/2024   07:28:21  AM|PARKING VIOLATION|34XX  ALANI DR|MANOA|District 7
05/22/2024   07:25:57  AM|PARKING VIOLATION|KAUIOKALANI PL / FARRINGTON HWY|WAIANAE|District 8
05/22/2024   07:25:40  AM|MVC|1XX  H1E FWY|AIRPORT|District 5
05/22/2024   07:21:37  AM|MISC CRIME OFFENSE|43XX  LIKINI ST|ALIAMANU|District 5
05/22/2024   07:18:43  AM|PARKING VIOLATION|27XX  S KING ST|MCCULLY|District 7
05/22/2024   07:18:38  AM|MVC|N NIMITZ HWY / ELLIOTT ST|AIRPORT|District 5
05/22/2024   07:13:13  AM|SIMPLE ASSAULT|3XX  N KUAKINI ST|NUUANU|District 5
05/22/2024   07:08:49  AM|AUTO THEFT RECOVERY|15XX  MAKIKI ST|MAKIKI|District 1
05/22/2024   07:08:04  AM|VEH TOWED|8602XX  FARRINGTON HWY|WAIANAE|District 8
05/22/2024   06:58:24  AM|RUNAWAY|8XX  ALIAMANU DR|AMR|District 5
05/22/2024   06:56:17  AM|AUTO THEFT|5XX  WAILEPO ST|KAILUA|District 4
05/22/2024   06:44:38  AM|THEFT|9XX  MURRAY DR|RADFORD T|District 5
05/22/2024   06:33:51  AM|FOLLOW UP|4401XX  KAHINANI WAY|KANEOHE|District 4
05/22/2024   06:31:14  AM|FOUND PROPERTY|4502XX  KA HANAHOU CIR|KANEOHE|District 4
05/22/2024   06:23:35  AM|FRAUD|4507XX  APUAKEA ST|KANEOHE|District 4
05/22/2024   06:12:30  AM|LOST PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/22/2024   05:16:33  AM|MVC VEH TOWED|9120XX  OLD FORT WEAVER RD|EWA BEACH|District 8
