05/24/2024   03:42:15  AM|MEDICAL ASSIST|31XX  E MANOA RD|MANOA|District 7
05/24/2024   03:41:55  AM|MISC SERVICE CALL|5XX  N KUAKINI ST|NUUANU|District 5
05/24/2024   03:36:46  AM|ICF/SCF|22XX  HELUMOA RD|WAIKIKI|District 6
05/24/2024   03:24:14  AM|NUISANCE COMPLAINT|8XX  S KING ST|HONOLULU|District 1
05/24/2024   03:15:52  AM|TRAFFIC ARREST/CITATION|25XX  PUUNUI AVE|NUUANU|District 5
05/24/2024   03:08:33  AM|DUI|14XX  ALA MOANA BLVD|ALA MOANA|District 1
05/24/2024   02:58:05  AM|WEAPONS|RIVER ST / N HOTEL ST|DOWNTOWN|District 1
05/24/2024   02:43:10  AM|MVC|20XX  N SCHOOL ST|KALIHI|District 5
05/24/2024   02:26:14  AM|DUI|MCCULLY ST / ALA WAI BLVD|WAIKIKI|District 6
05/24/2024   02:19:35  AM|TRESPASS WARN|8XX  ALA LILIKOI ST|SALT LAKE|District 5
05/23/2024   23:31:44  PM|BURGLARY|8607XX  LUALUALEI HMSTD RD|WAIANAE|District 8
05/23/2024   21:13:12  PM|AGGRAVATED ASSAULT|5700XX  KUILIMA DR|KAHUKU|District 4
