05/27/2024   21:43:25  PM|NUISANCE COMPLAINT|22XX  KALAKAUA AVE|WAIKIKI|District 6
05/27/2024   21:36:35  PM|ANIMAL NOISE|9403XX  WAIPAHU ST|WAIPAHU|District 3
05/27/2024   21:33:04  PM|SUSP CIRCUMSTANCE|4117XX  KUMUNIU ST|WAIMANALO|District 4
05/27/2024   21:30:30  PM|MVC|KAM HWY / NUI AVE|WAHIAWA|District 2
05/27/2024   21:28:21  PM|TRAFFIC COMPLAINT|H3E MM10|KANEOHE|District 4
05/27/2024   21:26:01  PM|CUSTODIAL INTERFERENCE|6704XX  GOODALE AVE|WAIALUA|District 2
05/27/2024   21:20:18  PM|FAMILY OFF/NEG|30XX  KAIMUKI AVE|KAIMUKI|District 7
05/27/2024   21:08:33  PM|AUTO THEFT|31XX  WAIALAE AVE|KAIMUKI|District 7
05/27/2024   21:00:07  PM|WARRANT ARREST|9110XX  KAILIKE ST|EWA BEACH|District 8
05/27/2024   20:41:39  PM|DUI|8900XX  FARRINGTON HWY|NANAKULI|District 8
05/27/2024   20:07:18  PM|MISC SERVICE CALL|25XX  DATE ST|MCCULLY|District 7
05/27/2024   19:22:52  PM|THREATENING|XX  OHAI ST|WAHIAWA|District 2
