05/28/2024   22:28:16  PM|THEFT|18XX  ALA MOANA BLVD|WAIKIKI|District 6
05/28/2024   22:27:49  PM|VEH TOWED|KAPOLEI PKWY / KUALAKAI PKWY|KAPOLEI|District 8
05/28/2024   22:23:14  PM|MISC SERVICE CALL|7XX  BANNISTER ST|KALIHI|District 5
05/28/2024   22:12:26  PM|PARKING VIOLATION|30XX  ALA NAPUAA PL|SALT LAKE|District 5
05/28/2024   22:10:07  PM|VEH TOWED|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
05/28/2024   22:08:33  PM|AUTO THEFT|14XX  ALA HOKU PL|MOANALUA V|District 5
05/28/2024   21:58:39  PM|NOISE COMPLAINT|11XX  RICHARD LN|KALIHI|District 5
05/28/2024   21:44:37  PM|VEH TOWED|4XX  PACIFIC ST|KALIHI|District 5
05/28/2024   21:44:27  PM|MISC PUB|4XX  ATKINSON DR|ALA MOANA|District 1
05/28/2024   21:38:13  PM|DISORDERLY CONDUCT|16XX  ALAPAI ST|PUNCHBOWL|District 1
05/28/2024   21:02:39  PM|AUTO THEFT RECOVERY|WAIPAHU ST / WAIKELE RD|WAIPAHU|District 3
05/28/2024   21:01:57  PM|TRESPASS|47XX  KAHALA AVE|KAHALA|District 7
05/28/2024   20:01:14  PM|MISC PUB|11XX  HOOLI CIR|PEARL CITY|District 3
05/28/2024   19:32:41  PM|FOLLOW UP|10XX  MORRIS LN|KALIHI|District 5
