06/09/2024   07:43:39  AM|DROPPED CALL|10XX  KAKALA ST|KAPOLEI|District 8
06/09/2024   07:37:58  AM|NUISANCE COMPLAINT|3XX  IOLANI AVE|PUNCHBOWL|District 1
06/09/2024   07:36:36  AM|MVC|6XX  KEALAHOU ST|HAWAII KAI|District 7
06/09/2024   07:28:11  AM|NUISANCE COMPLAINT|27XX  S KING ST|MCCULLY|District 7
06/09/2024   07:25:45  AM|DEFIB CALL|14XX  ALA LEIE PL|SALT LAKE|District 5
06/09/2024   07:25:23  AM|VEH TOWED|HAWAII ST / LILIHA ST|NUUANU|District 5
06/09/2024   07:01:26  AM|PARKING VIOLATION|11XX  BANYAN ST|KALIHI|District 5
06/09/2024   06:10:29  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
06/09/2024   05:58:07  AM|AUTO THEFT|AINONI ST / N KALAHEO AVE|KAILUA|District 4
06/09/2024   05:54:31  AM|MVC VEH TOWED|6XX  N KUAKINI ST|NUUANU|District 5
06/09/2024   05:21:36  AM|MISC PUB|9XX  NIMITZ HWY|KALIHI|District 5
