06/09/2024   13:42:34  PM|ARGUMENT FAMILY|23XX  ANIHINIHI ST|PEARL CITY|District 3
06/09/2024   13:42:12  PM|PARKING VIOLATION|XX  KAINEHE ST|KAILUA|District 4
06/09/2024   13:40:21  PM|MVC|14XX  ALA MOANA BLVD|ALA MOANA|District 1
06/09/2024   13:38:14  PM|TRAFFIC STOP|KALAKAUA AVE / KEALOHILANI AVE|WAIKIKI|District 6
06/09/2024   13:36:32  PM|UEMV|12XX  ULUPUNI ST|KAILUA|District 4
06/09/2024   13:33:50  PM|ARGUMENT|8709XX  HAKIMO RD|NANAKULI|District 8
06/09/2024   13:28:05  PM|MISC PUB|SARATOGA RD / KALAKAUA AVE|WAIKIKI|District 6
06/09/2024   13:28:03  PM|AUTO THEFT RECOVERY|10XX  LAA LN|KALIHI|District 5
06/09/2024   13:22:22  PM|PARKING VIOLATION|UKUWAI ST / KELAKELA ST|MILILANI|District 2
06/09/2024   13:17:30  PM|MISC SERVICE CALL|13XX  PUNCHBOWL ST|HONOLULU|District 1
06/09/2024   13:12:55  PM|VEH TOWED|2XX  H1W FWY|PUNCHBOWL|District 1
06/09/2024   13:06:00  PM|SIMPLE ASSAULT|7XX  EKELA AVE|KAPAHULU|District 7
06/09/2024   12:56:36  PM|HARASSMENT|11XX  POHA LN|MCCULLY|District 7
06/09/2024   12:45:55  PM|VEH TOWED|ALA WAI BLVD / LAUNIU ST|WAIKIKI|District 6
06/09/2024   12:03:26  PM|AUTO THEFT RECOVERY|9207XX  PALAILAI ST|MAKAKILO|District 8
06/09/2024   11:51:55  AM|VEH TOWED|18XX  FERNANDEZ ST|KALIHI|District 5
06/09/2024   11:31:34  AM|AUTO THEFT RECOVERY|16XX  LANAKILA AVE|KALIHI|District 5
06/09/2024   11:26:31  AM|UNATTENDED DEATH|8XX  SANTOS DUMONT AVE|94 - NAME?|District 2
