06/18/2024   01:11:56  AM|SUSP CIRCUMSTANCE|28XX  WAIALAE AVE|KAIMUKI|District 7
06/18/2024   01:01:00  AM|TRAFFIC COMPLAINT|KUPUNA LOOP / KUNIA RD|WAIPAHU|District 3
06/18/2024   00:31:28  AM|DUI|PUNAHOU ST / S BERETANIA ST|HONOLULU|District 1
06/18/2024   00:30:56  AM|AUTO THEFT|42XX  BOUGAINVILLE AVE|KALAELOA|District 8
06/18/2024   00:30:46  AM|PROPERTY DAMAGE|6XX  CALIFORNIA AVE|WAHIAWA|District 2
06/17/2024   23:44:03  PM|MISC PUB|5700XX  KAM HWY|KAHUKU|District 4
06/17/2024   23:35:07  PM|DUI|S BERETANIA ST / PUNAHOU ST|HONOLULU|District 1
06/17/2024   23:22:03  PM|THREATENING|10XX  FORT ST MALL|DOWNTOWN|District 1
06/17/2024   23:05:46  PM|TRESPASS|8719XX  FARRINGTON HWY|NANAKULI|District 8
06/17/2024   20:37:42  PM|MISC PUB|BETHEL ST / S KING ST|DOWNTOWN|District 1
06/17/2024   20:18:49  PM|MISC SERVICE CALL|7XX  ALAKEA ST|DOWNTOWN|District 1
