06/18/2024   06:26:42  AM|FAMILY OFF/NEG|8900XX  AONE PL|NANAKULI|District 8
06/18/2024   06:25:53  AM|MEDICAL ASSIST|11XX  KAMAHELE ST|KAILUA|District 4
06/18/2024   06:24:38  AM|ARGUMENT FAMILY|9406XX  KUPUNA LOOP|WAIPAHU|District 3
06/18/2024   06:23:53  AM|THREATENING|8XX  S BERETANIA ST|HONOLULU|District 1
06/18/2024   06:23:11  AM|PARKING VIOLATION|8XX  PAPALALO PL|HAWAII KAI|District 7
06/18/2024   06:22:14  AM|LOST PROPERTY|9408XX  WAIPAHU ST|WAIPAHU|District 3
06/18/2024   06:17:52  AM|MVC VEH TOWED|KALANIANAOLE HWY / PAIKO DR|AINA HAINA|District 7
06/18/2024   06:11:57  AM|FOLLOW UP|20XX  KUHIO AVE|WAIKIKI|District 6
06/18/2024   06:07:57  AM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
06/18/2024   06:05:36  AM|LOST PROPERTY|8XX  S BERETANIA ST|HONOLULU|District 1
06/18/2024   06:01:26  AM|FRAUD|3XX  KULIOUOU RD|AINA HAINA|District 7
06/18/2024   05:56:41  AM|MISC PUB|8XX  KAPAHULU AVE|KAPAHULU|District 7
06/17/2024   20:37:42  PM|MISC PUB|BETHEL ST / S KING ST|DOWNTOWN|District 1
