06/22/2024   10:09:52  AM|NUISANCE COMPLAINT|MOANALUA RD / WAIMANO HOME RD|PEARL CITY|District 3
06/22/2024   10:08:27  AM|SUSP CIRCUMSTANCE|2XX  SARATOGA RD|WAIKIKI|District 6
06/22/2024   10:03:50  AM|VEH TOWED|6XX  KULIOUOU RD|AINA HAINA|District 7
06/22/2024   10:02:39  AM|MISC CRIME OFFENSE|9511XX  PUNEKI ST|MILILANI|District 2
06/22/2024   10:00:07  AM|PARKING VIOLATION|8XX  COOLIDGE ST|MCCULLY|District 7
06/22/2024   09:51:55  AM|ALARM CALL|9107XX  PAPIPI RD|EWA BEACH|District 8
06/22/2024   09:49:27  AM|MVC VEH TOWED|3XX  HOBRON LN|WAIKIKI|District 6
06/22/2024   09:49:21  AM|THEFT|8702XX  PAAKEA RD|MAILI|District 8
06/22/2024   09:28:01  AM|MISC PUB|8512XX  KAPAEKAHI ST|WAIANAE|District 8
06/22/2024   07:49:53  AM|WARRANT ARREST|8406XX  LAHAINA ST|MAKAHA|District 8
06/22/2024   07:03:38  AM|AUTO THEFT RECOVERY|KAHEKA ST / KANUNU ST|HONOLULU|District 1
