06/22/2024   10:56:24  AM|PROPERTY DAMAGE|15XX  MAKALOA ST|HONOLULU|District 1
06/22/2024   10:52:09  AM|THEFT|4506XX  KEAAHALA RD|KANEOHE|District 4
06/22/2024   10:50:51  AM|FRAUD|6601XX  KAM HWY|HALEIWA|District 2
06/22/2024   10:49:58  AM|ARGUMENT|5907XX  KAM HWY|SUNSET|District 2
06/22/2024   10:49:44  AM|VEH TOWED|19XX  KALAKAUA AVE|WAIKIKI|District 6
06/22/2024   10:44:07  AM|MVC|FARRINGTON HWY / LAALOA ST|KAPOLEI|District 8
06/22/2024   10:42:01  AM|FOUND PROPERTY|9111XX  HAPUA ST|EWA BEACH|District 8
06/22/2024   10:40:38  AM|FOLLOW UP|9101XX  PAPIPI RD|EWA BEACH|District 8
06/22/2024   10:37:29  AM|VEH TOWED|9110XX  KAUNOLU ST|EWA BEACH|District 8
06/22/2024   10:27:35  AM|UNATTENDED DEATH|9121XX  FORT WEAVER RD|EWA BEACH|District 8
06/22/2024   10:23:02  AM|FOLLOW UP|1XX  ULUNIU AVE|WAIKIKI|District 6
06/22/2024   10:14:25  AM|AGGRAVATED ASSAULT|19XX  UHU ST|KALIHI|District 5
06/22/2024   09:49:21  AM|THEFT|8702XX  PAAKEA RD|MAILI|District 8
06/22/2024   09:43:05  AM|MISC PUB|27XX  KALAKAUA AVE|WAIKIKI|District 6
