06/23/2024   15:43:26  PM|SUSP CIRCUMSTANCE|XX  S KUAKINI ST|NUUANU|District 5
06/23/2024   15:43:25  PM|ARGUMENT|4113XX  KUMUULA ST|WAIMANALO|District 4
06/23/2024   15:43:20  PM|THEFT|5XX  KA AWAKEA PL|KAILUA|District 4
06/23/2024   15:37:19  PM|MISC SERVICE CALL|PAU ST / KALAKAUA AVE|WAIKIKI|District 6
06/23/2024   15:36:07  PM|WARRANT ARREST|KINAU ST / MAKIKI ST|HONOLULU|District 1
06/23/2024   15:35:57  PM|TRAFFIC COMPLAINT|9412XX  KAHUANUI ST|WAIPAHU|District 3
06/23/2024   15:35:34  PM|PROPERTY DAMAGE|13XX  KAPIOLANI BLVD|HONOLULU|District 1
06/23/2024   15:32:50  PM|MISC SERVICE CALL|9800XX  UAO PL|AIEA|District 3
06/23/2024   15:32:15  PM|MISC PUB|9400XX  NAWAAKOA ST|WAIPAHU|District 3
06/23/2024   15:30:47  PM|MVC VEH TOWED|KALAKAUA AVE / MONSARRAT AVE|WAIKIKI|District 6
06/23/2024   15:30:35  PM|THEFT|12XX  S BERETANIA ST|HONOLULU|District 1
06/23/2024   15:29:37  PM|PARKING VIOLATION|4100XX  ALAIHI ST|WAIMANALO|District 4
06/23/2024   15:27:38  PM|FOLLOW UP|AMSC KONAIKI / AMSC MAKAI PIIKOI|ALA MOANA|District 1
06/23/2024   15:24:10  PM|THEFT|10XX  AOLOA PL|KAILUA|District 4
06/23/2024   15:22:37  PM|RUNAWAY|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
06/23/2024   14:59:46  PM|FRAUD|9410XX  WAIAHU ST|WAIPAHU|District 3
06/23/2024   14:42:38  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
06/23/2024   13:59:22  PM|MISC PUB|2XX  QUEEN ST|DOWNTOWN|District 1
06/23/2024   13:58:51  PM|AGGRAVATED ASSAULT|21XX  KALAKAUA AVE|WAIKIKI|District 6
06/23/2024   13:50:17  PM|VEH TOWED|7XX  AKUMU ST|KAILUA|District 4
06/23/2024   13:48:56  PM|MISC SERVICE CALL|10XX  MAUNAWILI RD|KAILUA|District 4
06/23/2024   12:52:52  PM|UNATTENDED DEATH|5603XX  KAM HWY|LAIE|District 4
