06/24/2024   12:58:21  PM|LOST PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
06/24/2024   12:54:49  PM|VEH TOWED|9117XX  PARK ROW|EWA BEACH|District 8
06/24/2024   12:52:53  PM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
06/24/2024   12:48:37  PM|ARGUMENT|9404XX  KAUOPUA ST|MILILANI|District 2
06/24/2024   12:44:22  PM|FAMILY OFF/NEG|8410XX  FARRINGTON HWY|MAKAHA|District 8
06/24/2024   12:43:04  PM|STALLED/HAZARD VEH|9409XX  KUNIA RD|KUNIA|District 2
06/24/2024   12:41:20  PM|THEFT|1XX  S KAM HWY|WAHIAWA|District 2
06/24/2024   12:34:19  PM|JUVENILE NUISANCE|12XX  ALOHA OE DR|KAILUA|District 4
06/24/2024   12:30:59  PM|MVC|9500XX  WIKAO ST|MILILANI|District 2
06/24/2024   12:30:25  PM|ICF/SCF|5XX  FARRINGTON HWY|KAPOLEI|District 8
06/24/2024   12:24:13  PM|AUTO THEFT|9914XX  KOAHA PL|AIEA|District 3
06/24/2024   12:22:07  PM|MISC PUB|1XX  MAKAWAO ST|KAILUA|District 4
06/24/2024   12:16:41  PM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
06/24/2024   12:09:31  PM|RAPE|XX  S KING ST|DOWNTOWN|District 1
06/24/2024   12:03:01  PM|MISC SERVICE CALL|9XX  BISHOP ST|DOWNTOWN|District 1
06/24/2024   11:50:32  AM|TRAFFIC COMPLAINT|1XX  H1W FWY|AIRPORT|District 5
06/24/2024   11:45:00  AM|HARASSMENT|53XX  KALANIANAOLE HWY|AINA HAINA|District 7
06/24/2024   11:28:53  AM|ORDER VIOLATION|46XX  KAPOLEI PKWY|KAPOLEI|District 8
06/24/2024   11:28:02  AM|WARRANT ARREST|HAKIMO RD / AKOWAI RD|NANAKULI|District 8
06/24/2024   11:23:48  AM|UNATTENDED DEATH|8404XX  NUKEA ST|MAKAHA|District 8
06/24/2024   11:10:59  AM|WARRANT ARREST|9102XX  KOMOHANA ST|KAPOLEI|District 8
06/24/2024   10:49:58  AM|THREATENING|1XX  MANGO ST|WAHIAWA|District 2
06/24/2024   10:37:56  AM|THEFT|9206XX  MEHANI ST|MAKAKILO|District 8
06/24/2024   10:23:19  AM|MVC VEH TOWED|AALA ST / N VINEYARD BLVD|DOWNTOWN|District 1
06/24/2024   10:13:13  AM|THEFT|9405XX  KUPUOHI ST|WAIPAHU|District 3
06/24/2024   10:09:21  AM|MISC PUB|9803XX  KAM HWY|AIEA|District 3
06/24/2024   09:07:17  AM|UNATTENDED DEATH|9XX  PROSPECT ST|MAKIKI|District 1
06/24/2024   08:38:54  AM|THEFT|13XX  WILDER AVE|MAKIKI|District 1
06/24/2024   08:21:33  AM|UNATTENDED DEATH|24XX  NOTLEY ST|KALIHI|District 5
06/24/2024   08:08:14  AM|AUTO THEFT RECOVERY|45XX  KAPOLEI PKWY|KAPOLEI|District 8
06/24/2024   06:34:05  AM|MISC CRIME OFFENSE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
