06/29/2024   21:37:13  PM|MISC SERVICE CALL|23XX  KALAKAUA AVE|WAIKIKI|District 6
06/29/2024   21:36:33  PM|DEFIB CALL|9401XX  KAAHOLO PL|WAIPAHU|District 3
06/29/2024   21:27:24  PM|AGGRAVATED ASSAULT|9810XX  MOANALUA RD|AIEA|District 3
06/29/2024   21:21:01  PM|MEDICAL ASSIST|16XX  KILOHANA ST|KALIHI|District 5
06/29/2024   21:15:00  PM|HARASSMENT|9912XX  HALAWA HTS RD|AIEA|District 3
06/29/2024   21:13:02  PM|BURGLARY|2XX  KALIHI ST|KALIHI|District 5
06/29/2024   21:08:34  PM|ANIMAL NOISE|28XX  NIHI ST|KALIHI|District 5
06/29/2024   21:02:40  PM|LOUD PARTY|15XX  MOKULUA DR|KAILUA|District 4
06/29/2024   21:00:25  PM|WARRANT ARREST|S KAM HWY / AVOCADO ST|WAHIAWA|District 2
06/29/2024   20:52:14  PM|FAMILY OFF/NEG|8501XX  ALA AKAU ST|WAIANAE|District 8
06/29/2024   20:51:24  PM|TRAFFIC ARREST/CITATION|13XX  AKELE ST|KAILUA|District 4
06/29/2024   20:31:13  PM|PROPERTY DAMAGE|9110XX  KALEHUNA ST|KAPOLEI|District 8
06/29/2024   20:26:54  PM|ATTENDED DEATH|12XX  NANI IHI AVE|WAHIAWA|District 2
06/29/2024   19:18:45  PM|SIMPLE ASSAULT|9802XX  KAONOHI ST|AIEA|District 3
06/29/2024   19:16:11  PM|MISC PUB|34XX  KAOHINANI DR|NUUANU|District 5
