07/08/2024   06:54:00  AM|TRAFFIC STOP|4XX  PAU ST|WAIKIKI|District 6
07/08/2024   06:49:20  AM|THEFT|27XX  HIPAWAI PL|MANOA|District 7
07/08/2024   06:49:07  AM|PROPERTY DAMAGE|4XX  KAM HWY|PEARL CITY|District 3
07/08/2024   06:39:41  AM|SUSP CIRCUMSTANCE|4102XX  POLIALA ST|WAIMANALO|District 4
07/08/2024   06:35:49  AM|WARRANT ARREST|13XX  MAKIKI ST|HONOLULU|District 1
07/08/2024   06:32:51  AM|MISC PUB|15XX  MAGAZINE ST|MAKIKI|District 1
07/08/2024   06:31:06  AM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
07/08/2024   06:27:54  AM|THEFT|2XX  KAIKUONO PL|KAHALA|District 7
07/08/2024   06:24:55  AM|IDENTITY THEFT|16XX  KAPIOLANI BLVD|HONOLULU|District 1
07/08/2024   06:24:22  AM|UEMV|8XX  S BERETANIA ST|HONOLULU|District 1
07/08/2024   06:21:32  AM|ICF/SCF|9902XX  ULUNE ST|AIEA|District 3
07/08/2024   06:08:33  AM|THEFT|4703XX  MAWAENA ST|KANEOHE|District 4
07/08/2024   06:08:32  AM|MVC|16XX  PUNAHOU ST|MANOA|District 7
07/08/2024   06:06:03  AM|NUISANCE COMPLAINT|5XX  KAWAILOA RD|KAILUA|District 4
07/08/2024   06:00:03  AM|MISC SERVICE CALL|7XX  S KING ST|HONOLULU|District 1
