07/10/2024   10:43:18  AM|PARKING VIOLATION|11XX  ALA HINANO PL|SALT LAKE|District 5
07/10/2024   10:41:13  AM|MVC|H1E FWY|KAPOLEI|District 8
07/10/2024   10:41:03  AM|NUISANCE COMPLAINT|16XX  ALA MOANA BLVD|WAIKIKI|District 6
07/10/2024   10:31:08  AM|UEMV|8XX  POHUKAINA ST|KAKAAKO|District 1
07/10/2024   10:27:38  AM|MISC PUB|11XX  KOOHOO PL|KAILUA|District 4
07/10/2024   10:26:23  AM|LOST PROPERTY|9514XX  AINAMAKUA DR|MILILANI|District 2
07/10/2024   10:18:13  AM|MISC SERVICE CALL|7XX  ISENBERG ST|MCCULLY|District 7
07/10/2024   10:17:55  AM|VEH TOWED|6608XX  PAAHIHI ST|WAIALUA|District 2
07/10/2024   10:15:13  AM|FOLLOW UP|5505XX  MOANA ST|LAIE|District 4
07/10/2024   10:14:47  AM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
07/10/2024   10:08:23  AM|PROPERTY DAMAGE|8XX  PIIKOI ST|HONOLULU|District 1
07/10/2024   10:07:20  AM|VEH TOWED|16XX  ALA WAI BLVD|WAIKIKI|District 6
07/10/2024   10:01:16  AM|THEFT|9111XX  HANALOA ST|EWA BEACH|District 8
07/10/2024   10:00:52  AM|MVC|OAHU AVE / E MANOA RD|MANOA|District 7
07/10/2024   10:00:22  AM|MISC SERVICE CALL|8XX  S KING ST|HONOLULU|District 1
07/10/2024   09:57:41  AM|MVC|14XX  S KING ST|HONOLULU|District 1
07/10/2024   09:56:55  AM|PROPERTY DAMAGE|20XX  NEW JERSEY AVE|KAIMUKI|District 7
07/10/2024   09:36:24  AM|ICF/SCF|30XX  PUALEI CIR|WAIKIKI|District 6
07/10/2024   09:35:43  AM|FRAUD|25XX  KALAKAUA AVE|WAIKIKI|District 6
07/10/2024   09:18:27  AM|HARASSMENT|8XX  S BERETANIA ST|HONOLULU|District 1
07/10/2024   09:13:22  AM|UEMV|8904XX  POHAKUNUI AVE|NANAKULI|District 8
07/10/2024   09:07:33  AM|VEH TOWED|8XX  WHITMORE AVE|WAHIAWA|District 2
07/10/2024   06:44:46  AM|UNATTENDED DEATH|11XX  MOKAPU BLVD|KAILUA|District 4
