07/10/2024   12:13:47  PM|TRESPASS|9405XX  KUPUOHI ST|WAIPAHU|District 3
07/10/2024   12:13:00  PM|MISC SERVICE CALL|6XX  LAUMAKA ST|KALIHI|District 5
07/10/2024   12:11:30  PM|THEFT|8901XX  FARRINGTON HWY|NANAKULI|District 8
07/10/2024   12:05:46  PM|LOST PROPERTY|6700XX  GOODALE AVE|WAIALUA|District 2
07/10/2024   12:03:39  PM|HARASSMENT|17XX  LANAKILA AVE|NUUANU|District 5
07/10/2024   12:00:34  PM|MVC|12XX  13TH AVE|KAIMUKI|District 7
07/10/2024   11:57:13  AM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
07/10/2024   11:48:14  AM|FOLLOW UP|15XX  H3W FWY|MCBH|District 4
07/10/2024   11:45:51  AM|FRAUD|6XX  AHUA ST|MAPUNAPUNA|District 5
07/10/2024   11:45:00  AM|MISC PUB|12XX  PIIKOI ST|HONOLULU|District 1
07/10/2024   11:40:12  AM|NUISANCE COMPLAINT|33XX  ORLANDO PL|HOKULANI|District 5
07/10/2024   11:33:15  AM|FOLLOW UP|21XX  ELUWENE ST|KALIHI|District 5
07/10/2024   11:30:48  AM|MISC SERVICE CALL|50XX  LIKINI ST|SALT LAKE|District 5
07/10/2024   11:22:01  AM|WARRANT ARREST|5XX  UNIVERSITY AVE|MCCULLY|District 7
07/10/2024   11:21:44  AM|DRUGS/NARCOTICS|2XX  N KING ST|DOWNTOWN|District 1
07/10/2024   11:18:33  AM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
07/10/2024   11:16:58  AM|AGGRAVATED ASSAULT|1XX  MANGO ST|WAHIAWA|District 2
07/10/2024   10:55:21  AM|THEFT|7XX  S KING ST|HONOLULU|District 1
07/10/2024   10:52:08  AM|MISC PUB|23XX  ALA WAI BLVD|WAIKIKI|District 6
07/10/2024   10:41:03  AM|DISORDERLY CONDUCT|16XX  ALA MOANA BLVD|WAIKIKI|District 6
07/10/2024   10:18:13  AM|UNATTENDED DEATH|7XX  ISENBERG ST|MCCULLY|District 7
