07/14/2024   10:34:13  AM|THEFT|11XX  HUNAKAI ST|KAIMUKI|District 7
07/14/2024   10:20:27  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
07/14/2024   10:20:12  AM|SUSP CIRCUMSTANCE|26XX  KALAKAUA AVE|WAIKIKI|District 6
07/14/2024   10:18:29  AM|SUSP CIRCUMSTANCE|10XX  MANAWAI ST|KAPOLEI|District 8
07/14/2024   09:49:06  AM|FOLLOW UP|9402XX  LEOKANE ST|WAIPAHU|District 3
07/14/2024   09:35:18  AM|BURGLARY|9402XX  LEOKANE ST|WAIPAHU|District 3
07/14/2024   09:19:45  AM|ORDER VIOLATION|9110XX  KAUNOLU ST|EWA BEACH|District 8
07/14/2024   09:15:21  AM|BURGLARY|10XX  HOOMAIKAI ST|KALIHI|District 5
07/14/2024   08:52:30  AM|FOLLOW UP|15XX  KEEAUMOKU ST|MAKIKI|District 1
07/14/2024   07:52:58  AM|UNATTENDED DEATH|9110XX  NAMAHOE ST|KAPOLEI|District 8
07/14/2024   07:28:32  AM|TRESPASS|20XX  KALIA RD|FT DERUSSY|District 6
07/14/2024   06:34:36  AM|MISC CRIME OFFENSE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
