07/18/2024   19:43:45  PM|MISC PUB|22XX  ALOHA DR|WAIKIKI|District 6
07/18/2024   19:43:29  PM|MVC|14XX  ALA MOANA BLVD|ALA MOANA|District 1
07/18/2024   19:42:23  PM|VEH NOISE|NANI IHI AVE / WHITMORE AVE|WAHIAWA|District 2
07/18/2024   19:39:04  PM|ARGUMENT|XX  S KUAKINI ST|NUUANU|District 5
07/18/2024   19:38:54  PM|TRAFFIC COMPLAINT|H3W E HARANO TUNNEL|KANEOHE|District 4
07/18/2024   19:37:28  PM|MEDICAL ASSIST|9902XX  KAM HWY|AIEA|District 3
07/18/2024   19:35:30  PM|ARGUMENT|FARRINGTON HWY / KAUKAMA RD|MAILI|District 8
07/18/2024   19:33:35  PM|VEH TOWED|AKEPO LN / N KING ST|KALIHI|District 5
07/18/2024   19:27:25  PM|MISC SERVICE CALL|7XX  ILIAINA ST|KAILUA|District 4
07/18/2024   19:26:44  PM|SIMPLE ASSAULT|4XX  SUMNER ST|KALIHI|District 5
07/18/2024   19:24:31  PM|TRESPASS WARN|1XX  S KING ST|DOWNTOWN|District 1
07/18/2024   19:24:08  PM|ALARM CALL|9118XX  OLALI ST|EWA BEACH|District 8
07/18/2024   19:20:22  PM|FOLLOW UP|4505XX  NAKULUAI ST|KANEOHE|District 4
07/18/2024   19:18:03  PM|FAMILY OFF/NEG|35XX  ALIAMANU ST|ALIAMANU|District 5
07/18/2024   19:15:58  PM|ARGUMENT|5XX  IANA ST|KAILUA|District 4
07/18/2024   18:45:34  PM|DUI|9410XX  LUMIHOAHU ST|WAIPIO|District 3
07/18/2024   17:07:17  PM|WARRANT ARREST|FORT ST MALL / S HOTEL ST|DOWNTOWN|District 1
07/18/2024   16:57:43  PM|AUTO THEFT RECOVERY|4603XX  KAHUHIPA ST|KANEOHE|District 4
