07/18/2024   22:10:22  PM|MVC|ULUNE ST / KAHUAPAANI ST|AIEA|District 3
07/18/2024   22:08:30  PM|FAMILY OFF/NEG|11XX  LUNAANELA ST|KAILUA|District 4
07/18/2024   22:07:59  PM|FOUND PROPERTY|22XX  KALAKAUA AVE|WAIKIKI|District 6
07/18/2024   22:06:33  PM|AUTO THEFT RECOVERY|MIDDLE ST / N KING ST|KALIHI|District 5
07/18/2024   22:04:24  PM|FAMILY OFF/NEG|ALTA ST / POKAI BAY ST|WAIANAE|District 8
07/18/2024   21:59:14  PM|MEDICAL ASSIST|10XX  S BERETANIA ST|HONOLULU|District 1
07/18/2024   21:58:36  PM|AUTO THEFT RECOVERY|17XX  KALANI ST|KALIHI|District 5
07/18/2024   21:49:54  PM|AUTO THEFT RECOVERY|ALTA ST / POKAI BAY ST|WAIANAE|District 8
07/18/2024   21:49:54  PM|VEH TOWED|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
07/18/2024   21:47:32  PM|FAMILY OFF/NEG|2XX  MOKAUEA ST|KALIHI|District 5
07/18/2024   21:23:48  PM|FOLLOW UP|9409XX  MEHEULA PKWY|MILILANI|District 2
07/18/2024   21:20:17  PM|FOLLOW UP|16XX  ANAPUNI ST|MAKIKI|District 1
07/18/2024   21:18:12  PM|PROPERTY DAMAGE|15XX  S KING ST|MCCULLY|District 1
07/18/2024   20:32:46  PM|RUNAWAY|18XX  KAM IV RD|KALIHI|District 5
07/18/2024   19:39:04  PM|FAMILY OFF/NEG|XX  S KUAKINI ST|NUUANU|District 5
07/18/2024   19:20:22  PM|FOLLOW UP|4505XX  NAKULUAI ST|KANEOHE|District 4
