07/22/2024   07:58:25  AM|ATTEMPTED SUICIDE|9403XX  KAMALEI ST|MILILANI|District 2
07/22/2024   07:58:08  AM|AUTO THEFT|28XX  WAIALAE AVE|MANOA|District 7
07/22/2024   07:57:50  AM|TRESPASS WARN|19XX  KALAKAUA AVE|WAIKIKI|District 6
07/22/2024   07:57:23  AM|LOST PROPERTY|5XX  LUNALILO HOME RD|HAWAII KAI|District 7
07/22/2024   07:48:34  AM|PROPERTY DAMAGE|9805XX  HOOKANIKE ST|PEARL CITY|District 3
07/22/2024   07:43:00  AM|THEFT|8513XX  KAPAEKAHI ST|WAIANAE|District 8
07/22/2024   07:42:48  AM|NUISANCE COMPLAINT|16XX  ALA MOANA BLVD|ALA MOANA|District 1
07/22/2024   07:42:35  AM|MISC PUB|4502XX  KULAULI ST|KANEOHE|District 4
07/22/2024   07:42:06  AM|VEH TOWED|MAKALOA ST / SHERIDAN ST|HONOLULU|District 1
07/22/2024   07:40:57  AM|VEH TOWED|SALT LAKE BLVD / ALA LILIKOI ST|ALIAMANU|District 5
07/22/2024   07:39:02  AM|VEH TOWED|4107XX  KALANIANAOLE HWY|WAIMANALO|District 4
07/22/2024   07:38:25  AM|MVC|15XX  ALEWA DR|KALIHI|District 5
07/22/2024   07:38:06  AM|MISC CRIME OFFENSE|H1W EXIT8B WAIPAHU|WAIPAHU|District 3
07/22/2024   07:37:59  AM|FRAUD|2XX  PAOAKALANI AVE|WAIKIKI|District 6
07/22/2024   07:37:23  AM|HARASSMENT|13XX  PUNCHBOWL ST|HONOLULU|District 1
07/22/2024   07:37:12  AM|PROPERTY DAMAGE|WAIPIO UKA ST / MANAWA PL|WAIPIO|District 3
07/22/2024   07:32:21  AM|SIMPLE ASSAULT|12XX  HOPAKA ST|HONOLULU|District 1
07/22/2024   07:29:00  AM|MVC|4XX  SEASIDE AVE|WAIKIKI|District 6
07/22/2024   07:26:33  AM|TRESPASS WARN|20XX  KALIA RD|WAIKIKI|District 6
07/22/2024   07:21:35  AM|MVC VEH TOWED|HAWAII KAI DR / EHU WAI PL|HAWAII KAI|District 7
07/22/2024   07:06:23  AM|FRAUD|1XX  ROSEBANK PL|NUUANU|District 5
07/22/2024   07:05:57  AM|VEH TOWED|ALOHA DR / SEASIDE AVE|WAIKIKI|District 6
07/22/2024   07:05:16  AM|MISC PUB|XX  H1E FWY|EWA BEACH|District 8
07/22/2024   07:00:51  AM|VEH TOWED|14XX  YOUNG ST|HONOLULU|District 1
07/22/2024   06:50:06  AM|MISC PUB|12XX  MAUNAKEA ST|DOWNTOWN|District 1
07/22/2024   06:24:33  AM|MVC VEH TOWED|26XX  KALIHI ST|KALIHI|District 5
07/22/2024   04:22:04  AM|MISC PUB|PALOLO AVE / WAIALAE AVE|KAIMUKI|District 7
