07/25/2024   16:28:38  PM|PROPERTY DAMAGE|13XX  MOONUI ST|KALIHI|District 5
07/25/2024   16:27:53  PM|TRESPASS|8XX  HALEKAUWILA ST|HONOLULU|District 1
07/25/2024   16:26:16  PM|DRUGS/NARCOTICS|N KUKUI ST / MAUNAKEA ST|DOWNTOWN|District 1
07/25/2024   16:20:24  PM|MVC|KAHEKILI HWY / AHUIMANU PL|KANEOHE|District 4
07/25/2024   16:17:55  PM|FOLLOW UP|4XX  ATKINSON DR|ALA MOANA|District 1
07/25/2024   16:14:39  PM|FOLLOW UP|9205XX  PALAILAI ST|MAKAKILO|District 8
07/25/2024   16:14:39  PM|MISC SERVICE CALL|42XX  WAIALAE AVE|KAIMUKI|District 7
07/25/2024   16:04:58  PM|MVC|S VINEYARD BLVD / NUUANU AVE|DOWNTOWN|District 1
07/25/2024   16:04:29  PM|ARGUMENT|42XX  LAWEHANA ST|AIEA|District 3
07/25/2024   16:01:22  PM|ORDER VIOLATION|8601XX  LEIHOKU ST|WAIANAE|District 8
07/25/2024   15:45:07  PM|IDENTITY THEFT|21XX  MOTT SMITH DR|MAKIKI|District 1
07/25/2024   15:11:23  PM|RUNAWAY CXL|6XX  KAMOKILA BLVD|KAPOLEI|District 8
07/25/2024   15:10:08  PM|MISC PUB|16XX  ALA MOANA BLVD|WAIKIKI|District 6
07/25/2024   14:15:03  PM|ORDER VIOLATION|6XX  HALEKAUWILA ST|HONOLULU|District 1
07/25/2024   13:47:39  PM|DISORDERLY CONDUCT|8602XX  FARRINGTON HWY|WAIANAE|District 8
07/25/2024   13:28:42  PM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
07/25/2024   13:20:32  PM|DRUGS/NARCOTICS|2XX  N KING ST|DOWNTOWN|District 1
07/25/2024   12:25:04  PM|UNATTENDED DEATH|5XX  ULUHALA ST|KAILUA|District 4
07/25/2024   12:22:32  PM|FAMILY OFF/NEG|XX  HANAPEPE LOOP|HAWAII KAI|District 7
07/25/2024   09:17:00  AM|FAMILY OFF/NEG|WAIMANU ST / QUEEN ST|HONOLULU|District 1
