07/27/2024   01:58:41  AM|MVC|DATE ST / KAPIOLANI BLVD|MCCULLY|District 7
07/27/2024   01:57:45  AM|ARGUMENT|48XX  W EHA WAY|IROQUOIS|District 8
07/27/2024   01:56:54  AM|NOISE COMPLAINT|9110XX  AHONA ST|EWA BEACH|District 8
07/27/2024   01:56:02  AM|DROPPED CALL|9105XX  PUHILAKA PL|EWA BEACH|District 8
07/27/2024   01:55:31  AM|TRESPASS|9802XX  PALI MOMI ST|AIEA|District 3
07/27/2024   01:53:06  AM|ARGUMENT|4115XX  KALANIANAOLE HWY|WAIMANALO|District 4
07/27/2024   01:46:10  AM|SUSP CIRCUMSTANCE|H2S PINEAPPLE OP|MILILANI|District 2
07/27/2024   01:29:52  AM|AGGRAVATED ASSAULT|13XX  PUNCHBOWL ST|HONOLULU|District 1
07/27/2024   01:06:44  AM|MVC VEH TOWED|24XX  ALA WAI BLVD|WAIKIKI|District 6
07/27/2024   00:58:57  AM|AUTO THEFT|4504XX  KANEOHE BAY DR|KANEOHE|District 4
07/27/2024   00:46:39  AM|UEMV|6602XX  HALEIWA RD|HALEIWA|District 2
07/27/2024   00:39:02  AM|DUI|FORT WEAVER RD / AAWA DR|EWA BEACH|District 8
07/27/2024   00:31:18  AM|FAMILY OFF/NEG|6XX  ULUKAHIKI ST|KAILUA|District 4
07/27/2024   00:17:43  AM|DUI|9801XX  KAONOHI ST|AIEA|District 3
07/26/2024   23:11:09  PM|TRESPASS|3XX  KAPAHULU AVE|WAIKIKI|District 6
07/26/2024   22:38:21  PM|DUI|9600XX  ALA IKE|WAIPAHU|District 3
07/26/2024   22:29:06  PM|WARRANT ARREST|2XX  HAMAKUA DR|KAILUA|District 4
07/26/2024   21:28:50  PM|DUI|PUU PONI ST / KAM HWY|PEARL CITY|District 3
07/26/2024   20:59:17  PM|FAMILY OFF/NEG|7XX  PIIKOI ST|HONOLULU|District 1
07/26/2024   20:19:03  PM|ROBBERY VEH TAKEN|9117XX  PUALOALO PL|EWA BEACH|District 8
