07/30/2024   20:43:43  PM|WEAPONS|XX  MAKANI AVE|WAHIAWA|District 2
07/30/2024   20:39:31  PM|JUVENILE NUISANCE|9402XX  ANIANI PL|WAIPAHU|District 3
07/30/2024   20:39:02  PM|THREATENING|32XX  WAIALAE AVE|KAIMUKI|District 7
07/30/2024   20:36:19  PM|ARGUMENT FAMILY|9113XX  KEONEULA BLVD|EWA BEACH|District 8
07/30/2024   20:36:06  PM|NUISANCE COMPLAINT|4511XX  KAM HWY|KANEOHE|District 4
07/30/2024   20:24:53  PM|MVC VEH TOWED|4XX  W MOANALUA FWY|MOANALUA V|District 5
07/30/2024   20:24:25  PM|VEH TOWED|4704XX  AHUIMANU RD|KANEOHE|District 4
07/30/2024   20:20:55  PM|MVC VEH TOWED|13XX  AALA ST|DOWNTOWN|District 1
07/30/2024   20:12:11  PM|SIMPLE ASSAULT|23XX  KAPIOLANI BLVD|MCCULLY|District 7
07/30/2024   20:08:04  PM|FOLLOW UP|9101XX  APUU PL|EWA BEACH|District 8
07/30/2024   19:52:48  PM|THEFT|7XX  QUEEN ST|HONOLULU|District 1
07/30/2024   19:39:24  PM|DRUGS/NARCOTICS|25XX  G ST|MCBH|District 4
07/30/2024   19:30:44  PM|MISC PUB|MFW ALA KAPUNA OP|MOANALUA V|District 5
07/30/2024   19:17:58  PM|AGGRAVATED ASSAULT|9410XX  KAMIKI ST|WAIPAHU|District 3
07/30/2024   19:02:48  PM|WARRANT ARREST|S KING ST / PUNAHOU ST|HONOLULU|District 1
07/30/2024   17:47:54  PM|COUNTERFEIT/FORGERY|10XX  ILIPILO ST|KAILUA|District 4
07/30/2024   16:20:18  PM|MVC|HICKAM ONTO H1W|AIRPORT|District 5
