08/03/2024   19:58:16  PM|PROPERTY DAMAGE|13XX  S BERETANIA ST|HONOLULU|District 1
08/03/2024   19:56:17  PM|MEDICAL ASSIST|4XX  KAWAIHAE ST|HAWAII KAI|District 7
08/03/2024   19:56:07  PM|PARKING VIOLATION|ORRICK ST / RENTON RD|EWA BEACH|District 8
08/03/2024   19:54:08  PM|PARKING VIOLATION|KAIPU ST / KAILEONUI ST|EWA BEACH|District 8
08/03/2024   19:47:31  PM|UEMV|5803XX  MAMAO PL|SUNSET|District 2
08/03/2024   19:45:53  PM|MEDICAL ASSIST|KALANIANAOLE HWY / KAILUA RD|KAILUA|District 4
08/03/2024   19:45:25  PM|UEMV|KAM HWY / PUKEA RD|SUNSET|District 2
08/03/2024   19:23:46  PM|MISC PUB|9406XX  KAMALO ST|WAIPAHU|District 3
08/03/2024   19:16:14  PM|FAMILY OFF/NEG|28XX  KALAKAUA AVE|WAIKIKI|District 6
08/03/2024   19:08:41  PM|MISSING PERSON|9506XX  ALOHILANI ST|MILILANI|District 2
08/03/2024   18:39:05  PM|MISC PUB|38XX  KAIMUKI AVE|KAIMUKI|District 7
08/03/2024   17:44:25  PM|AUTO THEFT|21XX  DATE ST|MCCULLY|District 7
08/03/2024   17:31:59  PM|ATTENDED DEATH|24XX  KUHIO AVE|WAIKIKI|District 6
08/03/2024   17:04:45  PM|MISC PUB|H3W W HARANO TUNNEL|AIEA|District 3
