08/07/2024   19:43:51  PM|MISC PUB|18XX  POKI ST|MAKIKI|District 1
08/07/2024   19:43:11  PM|MVC|FARRINGTON HWY / HELELUA ST|NANAKULI|District 8
08/07/2024   19:42:27  PM|HARASSMENT|16XX  ROYAL PALM DR|WAHIAWA|District 2
08/07/2024   19:39:28  PM|ARGUMENT|20XX  KOMO MAI DR|PEARL CITY|District 3
08/07/2024   19:38:11  PM|THEFT|5700XX  KAM HWY|KAHUKU|District 4
08/07/2024   19:34:48  PM|ARGUMENT FAMILY|9110XX  PUAINA ST|EWA BEACH|District 8
08/07/2024   19:17:22  PM|WARRANT ARREST|8509XX  FARRINGTON HWY|WAIANAE|District 8
08/07/2024   19:04:56  PM|MVC|KOAUKA LOOP / KOAUKA ST|AIEA|District 3
08/07/2024   18:56:49  PM|HARASSMENT|2XX  OHAI ST|WAHIAWA|District 2
08/07/2024   18:55:16  PM|LIQUOR LAW|KALAKAUA AVE / ULUNIU AVE|WAIKIKI|District 6
08/07/2024   18:53:49  PM|MVC VEH TOWED|63XX  PALI HWY|KAILUA|District 4
08/07/2024   18:10:44  PM|FAMILY OFF/NEG|9110XX  MAULIHIWA ST|KAPOLEI|District 8
08/07/2024   18:00:13  PM|TRESPASS|4XX  KAM HWY|PEARL CITY|District 3
08/07/2024   16:11:21  PM|TRESPASS WARN|4504XX  KANEOHE BAY DR|KANEOHE|District 4
