08/12/2024   22:59:01  PM|TRAFFIC STOP|8XX  W HIND DR|AINA HAINA|District 7
08/12/2024   22:57:55  PM|ARGUMENT|8502XX  ALA AKAU ST|WAIANAE|District 8
08/12/2024   22:56:17  PM|NUISANCE COMPLAINT|8600XX  FARRINGTON HWY|WAIANAE|District 8
08/12/2024   22:55:32  PM|NOISE COMPLAINT|4400XX  KEAALAU PL|KANEOHE|District 4
08/12/2024   22:47:05  PM|ICF/SCF|26XX  KILIHAU ST|MAPUNAPUNA|District 5
08/12/2024   22:44:21  PM|NUISANCE COMPLAINT|9408XX  MOLOALO ST|WAIPAHU|District 3
08/12/2024   22:38:03  PM|MISC PUB|8601XX  FARRINGTON HWY|WAIANAE|District 8
08/12/2024   22:35:41  PM|PARKING VIOLATION|N KING ST / PULAA LN|KALIHI|District 5
08/12/2024   22:28:32  PM|FAMILY OFF/NEG|9121XX  FORT WEAVER RD|EWA BEACH|District 8
08/12/2024   21:51:50  PM|DUI|21XX  ALA WAI BLVD|WAIKIKI|District 6
08/12/2024   21:44:39  PM|BURGLARY|8504XX  WAIANAE VALLEY RD|WAIANAE|District 8
08/12/2024   21:43:19  PM|MISSING PERSON|9403XX  KAMALEI ST|MILILANI|District 2
08/12/2024   21:40:29  PM|AGGRAVATED ASSAULT|XX  AULIKE ST|KAILUA|District 4
08/12/2024   18:54:46  PM|VEH TOWED|9111XX  KAHALEPOULI ST|KAPOLEI|District 8
