08/17/2024   19:29:07  PM|SUSP CIRCUMSTANCE|4102XX  KAAIAI ST|WAIMANALO|District 4
08/17/2024   19:26:50  PM|SIMPLE ASSAULT|25XX  KUHIO AVE|WAIKIKI|District 6
08/17/2024   19:26:22  PM|PARKING VIOLATION|20XX  KALIA RD|WAIKIKI|District 6
08/17/2024   19:24:09  PM|ROBBERY|11XX  AUAHI ST|HONOLULU|District 1
08/17/2024   19:22:31  PM|MVC VEH TOWED|ALA MOANA BLVD / WARD AVE|HONOLULU|District 1
08/17/2024   19:15:31  PM|THREATENING|15XX  KALAKAUA AVE|HONOLULU|District 1
08/17/2024   19:03:30  PM|MVC|ROYAL HAWAIIAN AVE / LAUULA ST|WAIKIKI|District 6
08/17/2024   18:53:26  PM|FAMILY OFF/NEG|25XX  KALAKAUA AVE|WAIKIKI|District 6
08/17/2024   18:51:34  PM|FOLLOW UP|8601XX  PUHAWAI RD|WAIANAE|District 8
08/17/2024   18:50:07  PM|ROBBERY|12XX  WILDER AVE|MAKIKI|District 1
08/17/2024   18:31:37  PM|FOLLOW UP|8701XX  HELELUA ST|NANAKULI|District 8
08/17/2024   17:39:51  PM|AUTO THEFT|30XX  LYMAN RD|SCHOFIELD|District 2
