08/17/2024   19:58:42  PM|NUISANCE COMPLAINT|12XX  N SCHOOL ST|KALIHI|District 5
08/17/2024   19:55:48  PM|THEFT|12XX  KUALA ST|PEARL CITY|District 3
08/17/2024   19:53:34  PM|PARKING VIOLATION|CLARK ST / PUNAHOU ST|MANOA|District 7
08/17/2024   19:51:40  PM|MISC SERVICE CALL|4109XX  LAUMILO ST|WAIMANALO|District 4
08/17/2024   19:51:39  PM|THEFT|25XX  KALAKAUA AVE|WAIKIKI|District 6
08/17/2024   19:50:15  PM|SIMPLE ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
08/17/2024   19:47:38  PM|NOISE COMPLAINT|13XX  AUPUPU ST|KAILUA|District 4
08/17/2024   19:44:17  PM|THREATENING|51XX  KALANIANAOLE HWY|AINA HAINA|District 7
08/17/2024   19:42:56  PM|LIC PLATE THEFT CXL|16XX  ALA MOANA BLVD|WAIKIKI|District 6
08/17/2024   19:42:13  PM|ORDER VIOLATION|16XX  PAULA DR|KAIMUKI|District 7
08/17/2024   19:38:59  PM|MVC|5901XX  KAM HWY|SUNSET|District 2
08/17/2024   19:35:46  PM|FOUND PROPERTY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
08/17/2024   19:15:31  PM|MISC PUB|15XX  KALAKAUA AVE|HONOLULU|District 1
08/17/2024   18:53:26  PM|FAMILY OFF/NEG|25XX  KALAKAUA AVE|WAIKIKI|District 6
08/17/2024   18:51:34  PM|FOLLOW UP|8601XX  PUHAWAI RD|WAIANAE|District 8
08/17/2024   18:50:07  PM|ROBBERY VEH TAKEN|12XX  WILDER AVE|MAKIKI|District 1
08/17/2024   18:31:37  PM|FOLLOW UP|8701XX  HELELUA ST|NANAKULI|District 8
08/17/2024   17:39:51  PM|AUTO THEFT|30XX  LYMAN RD|SCHOFIELD|District 2
