09/03/2024   20:12:56  PM|TRAFFIC COMPLAINT|1XX  H1W FWY|AIRPORT|District 5
09/03/2024   20:10:34  PM|NUISANCE COMPLAINT|HAKALA ST / HOOMUA ST|MILILANI|District 2
09/03/2024   19:57:38  PM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
09/03/2024   19:57:11  PM|MISC CRIME OFFENSE|XX  QUEEN ST|DOWNTOWN|District 1
09/03/2024   19:50:08  PM|THREATENING|25XX  DOLE ST|MANOA|District 7
09/03/2024   19:41:18  PM|MISC PUB|KEONIANA ST / KALAKAUA AVE|WAIKIKI|District 6
09/03/2024   19:34:00  PM|TRO INITIAL|9110XX  PUAINA ST|EWA BEACH|District 8
09/03/2024   19:20:12  PM|TRAFFIC ARREST/CITATION|2XX  H1E FWY|KAIMUKI|District 7
09/03/2024   18:50:45  PM|FOLLOW UP|9502XX  KIPAPA DR|MILILANI|District 2
09/03/2024   18:38:40  PM|WARRANT ARREST|9110XX  PUAINA ST|EWA BEACH|District 8
09/03/2024   17:32:33  PM|MISC PUB|25XX  KALAKAUA AVE|WAIKIKI|District 6
