09/09/2024   20:58:41  PM|PARKING VIOLATION|4XX  LAUNIU ST|WAIKIKI|District 6
09/09/2024   20:57:39  PM|ALARM CALL|9111XX  HOKUA ST|EWA BEACH|District 8
09/09/2024   20:55:04  PM|VEH TOWED|KAAHUMANU ST / KAM HWY|PEARL CITY|District 3
09/09/2024   20:51:44  PM|MVC|5XX  KULIOUOU RD|AINA HAINA|District 7
09/09/2024   20:48:08  PM|THEFT|9410XX  ANANIA CIR|MILILANI|District 2
09/09/2024   20:42:56  PM|MVC|40XX  LIKINI ST|ALIAMANU|District 5
09/09/2024   20:42:19  PM|RUNAWAY|5801XX  KAM HWY|SUNSET|District 2
09/09/2024   20:41:48  PM|THEFT|4XX  ATKINSON DR|ALA MOANA|District 1
09/09/2024   20:29:42  PM|HARASSMENT|4XX  KAIMAKE LOOP|KAILUA|District 4
09/09/2024   20:24:12  PM|MISC SERVICE CALL|3XX  ILIMALIA LOOP|KAILUA|District 4
09/09/2024   20:03:39  PM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
09/09/2024   19:58:33  PM|MVC|20XX  PUUKAPU ST|KALIHI|District 5
09/09/2024   19:52:20  PM|VEH TOWED|16XX  10TH AVE|KAIMUKI|District 7
09/09/2024   19:46:27  PM|SIMPLE ASSAULT|8507XX  LIHUE ST|WAIANAE|District 8
09/09/2024   18:57:53  PM|DISORDERLY CONDUCT|LILIHA ST / N VINEYARD BLVD|DOWNTOWN|District 1
09/09/2024   18:49:10  PM|THEFT|42XX  WAIALAE AVE|KAIMUKI|District 7
09/09/2024   18:40:16  PM|FAMILY OFF/NEG|11XX  N KING ST|KALIHI|District 5
09/09/2024   18:29:55  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
