09/10/2024   17:29:05  PM|NUISANCE COMPLAINT|47XX  KAHALA AVE|KAHALA|District 7
09/10/2024   17:25:23  PM|MISC PUB|4506XX  KAM HWY|KANEOHE|District 4
09/10/2024   17:24:15  PM|FOLLOW UP|4XX  ATKINSON DR|ALA MOANA|District 1
09/10/2024   17:23:12  PM|FOLLOW UP|5XX  PAPALANI ST|KAILUA|District 4
09/10/2024   17:20:49  PM|MVC VEH TOWED|12XX  ALA AOLANI|MOANALUA V|District 5
09/10/2024   17:18:34  PM|MEDICAL ASSIST|NANAKAI ST / HOOMALU ST|PEARL CITY|District 3
09/10/2024   17:13:02  PM|ALARM CALL|11XX  WHITMORE AVE|WAHIAWA|District 2
09/10/2024   17:10:26  PM|PARKING VIOLATION|HULI ST / NAKINI ST|WAIMANALO|District 4
09/10/2024   17:04:07  PM|AUTO THEFT|5903XX  KE NUI RD|SUNSET|District 2
09/10/2024   16:53:09  PM|MISC PUB|23XX  ALA WAI BLVD|WAIKIKI|District 6
09/10/2024   16:51:59  PM|WARRANT ARREST|KAPAHULU AVE / ALA WAI BLVD|WAIKIKI|District 6
09/10/2024   16:46:28  PM|TRESPASS|8409XX  FARRINGTON HWY|MAKAHA|District 8
09/10/2024   16:36:11  PM|THEFT|10XX  ALA MOANA BLVD|KAKAAKO|District 1
09/10/2024   16:33:41  PM|MISC PUB|4XX  N NIMITZ HWY|KALIHI|District 5
09/10/2024   15:58:54  PM|MVC|WARD AVE / KINAU ST|HONOLULU|District 1
09/10/2024   14:00:07  PM|FOLLOW UP|3XX  BERETANIA ST|DOWNTOWN|District 1
09/10/2024   13:27:57  PM|TRESPASS|7XX  KAILUA RD|KAILUA|District 4
