09/12/2024   13:40:03  PM|MVC|6105XX  KAM HWY|HALEIWA|District 2
09/12/2024   13:36:25  PM|AUTO THEFT|9104XX  MAKALEA ST|EWA BEACH|District 8
09/12/2024   13:35:38  PM|ARGUMENT|9803XX  PONO ST|AIEA|District 3
09/12/2024   13:33:04  PM|MEDICAL ASSIST|9405XX  HONOWAI ST|WAIPAHU|District 3
09/12/2024   13:30:02  PM|ATTEMPTED SUICIDE|7XX  KAM HWY|PEARL CITY|District 3
09/12/2024   13:23:55  PM|NUISANCE COMPLAINT|8XX  KAM HWY|PEARL CITY|District 3
09/12/2024   13:21:18  PM|AUTO THEFT|18XX  EAST WEST RD|MANOA|District 7
09/12/2024   13:14:23  PM|ROBBERY|7XX  ALDER ST|HONOLULU|District 1
09/12/2024   13:12:12  PM|MISC PUB|11XX  WAIMANO HOME RD|PEARL CITY|District 3
09/12/2024   13:11:41  PM|NUISANCE COMPLAINT|9802XX  KAM HWY|AIEA|District 3
09/12/2024   13:03:11  PM|WARRANT ARREST|14XX  AHONUI ST|KALIHI|District 5
09/12/2024   12:52:54  PM|FOLLOW UP|9150XX  KAPOLEI PKWY|KAPOLEI|District 8
09/12/2024   12:49:36  PM|FAMILY OFF/NEG|9414XX  HIAPO ST|WAIPAHU|District 3
09/12/2024   12:42:47  PM|FAMILY OFF/NEG|FARRINGTON HWY / PRINCESS KAHANU AVE|NANAKULI|District 8
09/12/2024   12:33:50  PM|FAMILY OFF/NEG|16XX  KANUNU ST|HONOLULU|District 1
09/12/2024   11:56:03  AM|HARASSMENT|15XX  S KING ST|MCCULLY|District 1
09/12/2024   09:58:49  AM|VEH TOWED|20XX  PACIFIC HTS RD|PUNCHBOWL|District 1
