09/15/2024   08:10:41  AM|MISC PUB|9813XX  HOOHONUA ST|PEARL CITY|District 3
09/15/2024   08:10:01  AM|THEFT|9109XX  NORTH RD|EWA BEACH|District 8
09/15/2024   08:08:49  AM|SIMPLE ASSAULT|13XX  PUNAHOU ST|MCCULLY|District 7
09/15/2024   08:08:22  AM|NUISANCE COMPLAINT|X SAND ISLAND ACC RD|KALIHI|District 5
09/15/2024   08:06:23  AM|UEMV|FARRINGTON HWY / KAUKAMA RD|MAILI|District 8
09/15/2024   08:02:14  AM|MVC|KALAKAUA AVE / MCCULLY ST|WAIKIKI|District 6
09/15/2024   07:51:35  AM|MISC SERVICE CALL|12XX  ALA MOANA BLVD|ALA MOANA|District 1
09/15/2024   07:49:13  AM|PARKING VIOLATION|10XX  21ST AVE|KAIMUKI|District 7
09/15/2024   07:48:00  AM|MVC VEH TOWED|16XX  S KING ST|MCCULLY|District 7
09/15/2024   07:33:45  AM|MVC|2XX  OHUA AVE|WAIKIKI|District 6
09/15/2024   07:33:06  AM|UNATTENDED DEATH|4602XX  KAHUHIPA ST|KANEOHE|District 4
09/15/2024   07:10:11  AM|MISC SERVICE CALL|12XX  KAPIOLANI BLVD|HONOLULU|District 1
09/15/2024   06:46:34  AM|WARRANT ARREST|26XX  KALAKAUA AVE|WAIKIKI|District 6
09/15/2024   06:28:23  AM|TRESPASS|15XX  KANALUI ST|KAIMUKI|District 7
09/15/2024   06:03:42  AM|TRESPASS|OMEGA STATION|KANEOHE|District 4
09/15/2024   02:16:46  AM|THREATENING|9115XX  KUHIA PL|EWA BEACH|District 8
