09/15/2024   20:11:19  PM|SUSP CIRCUMSTANCE|29XX  KALAKAUA AVE|WAIKIKI|District 6
09/15/2024   20:09:40  PM|MISC SERVICE CALL|9210XX  MAKAKILO DR|MAKAKILO|District 8
09/15/2024   20:08:24  PM|PROPERTY DAMAGE|9401XX  KUAHELANI AVE|MILILANI|District 2
09/15/2024   20:08:23  PM|ALARM CALL|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/15/2024   20:04:27  PM|TRAFFIC STOP|8901XX  FARRINGTON HWY|NANAKULI|District 8
09/15/2024   20:02:31  PM|MISC SERVICE CALL|13XX  PUNCHBOWL ST|HONOLULU|District 1
09/15/2024   19:51:07  PM|AGGRAVATED ASSAULT|10XX  NUUANU AVE|DOWNTOWN|District 1
09/15/2024   19:40:54  PM|MISC SERVICE CALL|OLI LOOP / UKEE ST|WAIPIO|District 3
09/15/2024   19:39:15  PM|ARGUMENT FAMILY|15XX  KAUMUALII ST|KALIHI|District 5
09/15/2024   19:31:24  PM|FAMILY OFF/NEG|12XX  WAIMANO HOME RD|PEARL CITY|District 3
09/15/2024   19:01:40  PM|STALLED/HAZARD VEH|1XX  H1E FWY|AIRPORT|District 5
