09/17/2024   17:26:51  PM|MEDICAL ASSIST|4XX  KAUMAKANI ST|HAWAII KAI|District 7
09/17/2024   17:26:44  PM|MVC|XX  H1W FWY|WAIPAHU|District 3
09/17/2024   17:26:36  PM|HARASSMENT|8700XX  KULAAUPUNI ST|MAILI|District 8
09/17/2024   17:24:43  PM|ALARM CALL|9116XX  PAHIKA ST|EWA BEACH|District 8
09/17/2024   17:23:39  PM|MVC|H1W EXIT8B WAIPAHU|WAIPAHU|District 3
09/17/2024   17:21:42  PM|ARGUMENT|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
09/17/2024   17:20:11  PM|STALLED/HAZARD VEH|PALI HWY / KAM HWY|KAILUA|District 4
09/17/2024   17:18:22  PM|MISC SERVICE CALL|XX  KAINEHE ST|KAILUA|District 4
09/17/2024   17:17:24  PM|NUISANCE COMPLAINT|4XX  N NIMITZ HWY|KALIHI|District 5
09/17/2024   17:12:03  PM|MISC SERVICE CALL|5XX  QUINN LN|HONOLULU|District 1
09/17/2024   17:06:32  PM|MISC SERVICE CALL|9XX  KAMOKILA BLVD|KAPOLEI|District 8
09/17/2024   16:59:34  PM|MISC PUB|KAUKAMA RD / FARRINGTON HWY|MAILI|District 8
09/17/2024   16:56:49  PM|FOLLOW UP|2XX  LEWERS ST|WAIKIKI|District 6
09/17/2024   16:56:03  PM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
09/17/2024   16:53:59  PM|MVC|HALEIWA RD / WAIALUA BEACH RD|HALEIWA|District 2
09/17/2024   16:53:25  PM|MVC VEH TOWED|COLBURN ST / KALIHI ST|KALIHI|District 5
09/17/2024   16:45:41  PM|MVC VEH TOWED|8605XX  LUALUALEI HMSTD RD|WAIANAE|District 8
09/17/2024   16:38:06  PM|MISC SERVICE CALL|9802XX  KANUKU ST|AIEA|District 3
09/17/2024   16:36:48  PM|MVC|9210XX  OLANI ST|KAPOLEI|District 8
09/17/2024   16:28:51  PM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
09/17/2024   16:25:03  PM|AUTO THEFT|32XX  ROUND TOP DR|MAKIKI|District 1
09/17/2024   16:23:31  PM|THEFT|48XX  KAPOLEI PKWY|KAPOLEI|District 8
09/17/2024   15:50:19  PM|AUTO THEFT RECOVERY|6807XX  FARRINGTON HWY|WAIALUA|District 2
09/17/2024   15:50:17  PM|MISC SERVICE CALL|XX  LEILEHUA RD|WAHIAWA|District 2
09/17/2024   15:18:04  PM|RAPE|7XX  LEHUA AVE|PEARL CITY|District 3
09/17/2024   14:53:59  PM|FOLLOW UP|8XX  S BERETANIA ST|HONOLULU|District 1
09/17/2024   14:27:45  PM|MISC SERVICE CALL|9903XX  ULUNE ST|AIEA|District 3
09/17/2024   11:47:27  AM|FRAUD|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
09/17/2024   10:49:23  AM|MISC CRIME OFFENSE|ALA MOANA BLVD / FORREST AVE|KAKAAKO|District 1
