09/28/2024   10:13:20  AM|NUISANCE COMPLAINT|16XX  ALA MOANA BLVD|ALA MOANA|District 1
09/28/2024   10:10:37  AM|MVC|35XX  WAIALAE AVE|KAIMUKI|District 7
09/28/2024   10:10:13  AM|FRAUD|24XX  S KING ST|MCCULLY|District 7
09/28/2024   10:08:00  AM|THEFT|42XX  WAIALAE AVE|WAIALAE|District 7
09/28/2024   10:05:47  AM|MISC PUB|8714XX  FARRINGTON HWY|NANAKULI|District 8
09/28/2024   10:05:46  AM|MEDICAL ASSIST|9113XX  WAHANE ST|KAPOLEI|District 8
09/28/2024   10:01:28  AM|MEDICAL ASSIST|26XX  DOLE ST|KAIMUKI|District 7
09/28/2024   09:57:54  AM|PROPERTY DAMAGE|9110XX  KAIMALIE ST|EWA BEACH|District 8
09/28/2024   09:50:19  AM|ATTENDED DEATH|4505XX  UALANI PL|KANEOHE|District 4
09/28/2024   09:38:03  AM|UNATTENDED DEATH|9404XX  HIAHIA LOOP|WAIPAHU|District 3
09/28/2024   09:33:53  AM|ICF/SCF|48XX  BOUGAINVILLE DR|MOANALUA|District 5
09/28/2024   09:14:21  AM|VEH TOWED|ALA WAI BLVD / KANEKAPOLEI ST|WAIKIKI|District 6
09/28/2024   08:48:00  AM|SIMPLE ASSAULT|4100XX  MANANA ST|WAIMANALO|District 4
09/28/2024   08:42:12  AM|FAMILY OFF/NEG|4107XX  WAIKUPANAHA ST|WAIMANALO|District 4
09/28/2024   08:38:56  AM|FAMILY OFF/NEG|17XX  WILIKINA DR|WAHIAWA|District 2
09/28/2024   08:05:23  AM|FOLLOW UP|23XX  KALAKAUA AVE|WAIKIKI|District 6
09/28/2024   07:58:06  AM|FOLLOW UP|8502XX  FARRINGTON HWY|WAIANAE|District 8
09/28/2024   07:03:36  AM|UNATTENDED DEATH|9103XX  MAKALEA ST|EWA BEACH|District 8
09/28/2024   05:11:56  AM|BURGLARY|5XX  CALIFORNIA AVE|WAHIAWA|District 2
