10/02/2024   10:58:19  AM|LIQUOR LAW|KUHIO AVE / ULUNIU AVE|WAIKIKI|District 6
10/02/2024   10:58:03  AM|PARKING VIOLATION|HOKUPAA ST / HOKUUKALI ST|WAIANAE|District 8
10/02/2024   10:58:03  AM|THEFT|9900XX  KAAMILO ST|AIEA|District 3
10/02/2024   10:56:08  AM|MVC VEH TOWED|4XX  KAMOKILA BLVD|KAPOLEI|District 8
10/02/2024   10:54:24  AM|MISC SERVICE CALL|19XX  CITRON ST|MCCULLY|District 7
10/02/2024   10:53:24  AM|ARGUMENT FAMILY|24XX  DATE ST|MCCULLY|District 7
10/02/2024   10:52:20  AM|MISC SERVICE CALL|4XX  ILIWAHI LOOP|KAILUA|District 4
10/02/2024   10:51:45  AM|TRAFFIC COMPLAINT|9401XX  FARRINGTON HWY|WAIPAHU|District 3
10/02/2024   10:45:07  AM|AUTO THEFT RECOVERY|2XX  MALA ST|WAHIAWA|District 2
10/02/2024   10:42:47  AM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
10/02/2024   10:29:03  AM|MISC CRIME OFFENSE|9XX  S BERETANIA ST|HONOLULU|District 1
10/02/2024   10:23:18  AM|AUTO THEFT RECOVERY|4504XX  KANEOHE BAY DR|KANEOHE|District 4
10/02/2024   10:08:48  AM|SIMPLE ASSAULT|2XX  HAMAKUA DR|KAILUA|District 4
10/02/2024   10:03:02  AM|LIC PLATE THEFT|7XX  AILUNA ST|AINA HAINA|District 7
10/02/2024   09:56:00  AM|MVC|17XX  HUNNEWELL ST|MANOA|District 7
10/02/2024   09:44:14  AM|FRAUD|48XX  KILAUEA AVE|WAIALAE|District 7
10/02/2024   09:30:16  AM|FAMILY OFF/NEG|9XX  QUEEN ST|HONOLULU|District 1
10/02/2024   09:18:23  AM|MISC PUB|KINAU ST / KEEAUMOKU ST|HONOLULU|District 1
10/02/2024   07:28:57  AM|FRAUD|6604XX  KILIOE PL|HALEIWA|District 2
