10/02/2024   23:13:16  PM|THEFT|12XX  QUEEN EMMA ST|DOWNTOWN|District 1
10/02/2024   23:12:41  PM|ARGUMENT|8410XX  LAHILAHI ST|MAKAHA|District 8
10/02/2024   23:10:29  PM|ARGUMENT FAMILY|37XX  OLD PALI RD|NUUANU|District 5
10/02/2024   22:53:57  PM|NOISE COMPLAINT|10XX  KAOLO ST|HAWAII KAI|District 7
10/02/2024   22:52:17  PM|MEDICAL ASSIST|17XX  KAM IV RD|KALIHI|District 5
10/02/2024   22:48:23  PM|PROPERTY DAMAGE|7XX  MANAWAI ST|KAPOLEI|District 8
10/02/2024   22:40:46  PM|VEH TOWED|BANYAN TREE|WAIKIKI|District 6
10/02/2024   22:37:49  PM|NOISE COMPLAINT|9504XX  KUAHELANI AVE|MILILANI|District 2
10/02/2024   22:34:36  PM|MVC VEH TOWED|8705XX  HAKIMO RD|NANAKULI|District 8
10/02/2024   22:22:33  PM|NUISANCE COMPLAINT|20XX  PALOLO AVE|KAIMUKI|District 7
10/02/2024   22:21:40  PM|FOLLOW UP|27XX  WOODLAWN DR|MANOA|District 7
10/02/2024   22:18:44  PM|VEH TOWED|9XX  PUMEHANA ST|MCCULLY|District 7
10/02/2024   21:20:09  PM|MVC|H3W HOSPITAL ROCK|KANEOHE|District 4
10/02/2024   20:32:23  PM|SIMPLE ASSAULT|SEASIDE AVE / LAUULA ST|WAIKIKI|District 6
10/02/2024   18:04:02  PM|THREATENING|10XX  KAM HWY|PEARL CITY|District 3
