10/04/2024   09:13:34  AM|FIRE CALL|9114XX  KEAHUMOA PKWY|EWA BEACH|District 8
10/04/2024   09:09:53  AM|PARKING VIOLATION|10XX  KAUMOKU ST|HAWAII KAI|District 7
10/04/2024   09:09:41  AM|MVC|1XX  H1W FWY|PEARL CITY|District 3
10/04/2024   09:08:22  AM|VEH TOWED|24XX  KUHIO AVE|WAIKIKI|District 6
10/04/2024   09:07:58  AM|PARKING VIOLATION|POKI ST / DOMINIS ST|MAKIKI|District 1
10/04/2024   09:05:50  AM|PROPERTY DAMAGE|33XX  ALA LILIA|SALT LAKE|District 5
10/04/2024   09:03:55  AM|MISC SERVICE CALL|12XX  KEOLU DR|KAILUA|District 4
10/04/2024   09:00:49  AM|FOLLOW UP|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
10/04/2024   08:59:03  AM|AUTO THEFT|2XX  IOLANI AVE|PUNCHBOWL|District 1
10/04/2024   08:56:29  AM|MISC SERVICE CALL|9411XX  ELEU ST|WAIPAHU|District 3
10/04/2024   08:53:37  AM|WARRANT ARREST|NUUANU AVE / N HOTEL ST|DOWNTOWN|District 1
10/04/2024   08:53:27  AM|PARKING VIOLATION|DOLE ST / WHITNEY ST|MANOA|District 7
10/04/2024   08:52:35  AM|AUTO THEFT|4503XX  NAKULUAI ST|KANEOHE|District 4
10/04/2024   08:48:35  AM|PARKING VIOLATION|9612XX  WAIHONA ST|PEARL CITY|District 3
10/04/2024   08:46:48  AM|MVC|PALOLO AVE / KANEKOPA PL|KAIMUKI|District 7
10/04/2024   08:43:34  AM|MVC|24XX  TANTALUS DR|PUNCHBOWL|District 1
10/04/2024   08:40:19  AM|MVC|1XX  H1E FWY|PEARL CITY|District 3
10/04/2024   08:38:59  AM|NUISANCE COMPLAINT|9408XX  WAIPAHU ST|WAIPAHU|District 3
10/04/2024   08:17:44  AM|UNATTENDED DEATH|6XX  KEOLU DR|KAILUA|District 4
10/04/2024   08:17:10  AM|MVC|13XX  S KING ST|HONOLULU|District 1
10/04/2024   05:04:15  AM|AUTO THEFT|7XX  MCCULLY ST|MCCULLY|District 7
