10/06/2024   03:11:05  AM|THREATENING|15XX  KALAKAUA AVE|HONOLULU|District 1
10/06/2024   03:09:10  AM|SIMPLE ASSAULT|3XX  LEWERS ST|WAIKIKI|District 6
10/06/2024   03:05:22  AM|UNATTENDED DEATH|4XX  KAMAAHA AVE|KAPOLEI|District 8
10/06/2024   03:02:40  AM|TRAFFIC COMPLAINT|1XX  H1W FWY|AIEA|District 3
10/06/2024   03:02:34  AM|MVC VEH TOWED|4XX  KAPAHULU AVE|KAPAHULU|District 7
10/06/2024   03:02:10  AM|WEAPONS|16XX  MERKLE ST|KALIHI|District 5
10/06/2024   02:48:26  AM|FAMILY OFF/NEG|25XX  ALA WAI BLVD|WAIKIKI|District 6
10/06/2024   02:47:24  AM|DUI|GULICK AVE / WATERHOUSE ST|KALIHI|District 5
10/06/2024   02:33:26  AM|MISSING PERSON|11XX  KILANI AVE|WAHIAWA|District 2
10/06/2024   02:14:25  AM|FOLLOW UP|1XX  MANGO ST|WAHIAWA|District 2
10/06/2024   00:11:37  AM|SEX ASSAULT|34XX  N NIMITZ HWY|AIRPORT|District 5
10/05/2024   21:46:49  PM|MISC PUB|20XX  KALIA RD|WAIKIKI|District 6
10/05/2024   18:49:09  PM|VEH TOWED|9113XX  WAHANE ST|KAPOLEI|District 8
10/05/2024   18:00:46  PM|SEX ASSAULT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
