10/06/2024   08:28:32  AM|SIMPLE ASSAULT|10XX  KUALA ST|PEARL CITY|District 3
10/06/2024   08:24:05  AM|HARASSMENT|N VINEYARD BLVD / PALAMA ST|KALIHI|District 5
10/06/2024   08:21:20  AM|MISC SERVICE CALL|13XX  MOKU PL|MAKIKI|District 1
10/06/2024   08:19:35  AM|PROPERTY DAMAGE|8402XX  WATER ST|MAKAHA|District 8
10/06/2024   08:19:16  AM|THEFT|7XX  KAPAHULU AVE|KAIMUKI|District 7
10/06/2024   08:17:33  AM|ALARM CALL|4507XX  HINAMOE LOOP|KANEOHE|District 4
10/06/2024   08:14:35  AM|PARKING VIOLATION|9103XX  EWA BEACH RD|EWA BEACH|District 8
10/06/2024   08:09:03  AM|MISC CRIME OFFENSE|10XX  PROSPECT ST|MAKIKI|District 1
10/06/2024   08:06:18  AM|RUNAWAY CXL|7XX  KEEAUMOKU ST|HONOLULU|District 1
10/06/2024   08:03:37  AM|MISC SERVICE CALL|21XX  LAUULA ST|WAIKIKI|District 6
10/06/2024   06:58:48  AM|MISC PUB|7XX  KINAU ST|HONOLULU|District 1
10/06/2024   06:36:00  AM|FAMILY OFF/NEG|6XX  ALA MOANA BLVD|KAKAAKO|District 1
10/05/2024   21:46:49  PM|MISC PUB|20XX  KALIA RD|WAIKIKI|District 6
