10/07/2024   08:28:30  AM|INDECENT EXPOSURE|XX  KIHAPAI ST|KAILUA|District 4
10/07/2024   08:27:41  AM|SIMPLE ASSAULT|14XX  AHONUI ST|KALIHI|District 5
10/07/2024   08:23:15  AM|PARKING VIOLATION|9816XX  KAAHUMANU ST|AIEA|District 3
10/07/2024   08:17:56  AM|MISC SERVICE CALL|22XX  KUHIO AVE|WAIKIKI|District 6
10/07/2024   08:15:59  AM|ARGUMENT|3XX  HOBRON LN|WAIKIKI|District 6
10/07/2024   08:13:19  AM|MVC|11XX  UNIVERSITY AVE|MCCULLY|District 7
10/07/2024   08:12:16  AM|SUSP CIRCUMSTANCE|24XX  S BERETANIA ST|MCCULLY|District 7
10/07/2024   08:11:22  AM|MISC PUB|8500XX  WAIANAE VALLEY RD|WAIANAE|District 8
10/07/2024   08:07:19  AM|PARKING VIOLATION|6609XX  KIEKONEA WAY|WAIALUA|District 2
10/07/2024   08:02:11  AM|PARKING VIOLATION|PAANI ST / CITRON ST|MCCULLY|District 7
10/07/2024   07:59:30  AM|MISC PUB|9511XX  KOOLANI DR|MILILANI|District 2
10/07/2024   07:52:53  AM|FAMILY OFF/NEG|14XX  ERNEST ST|MAKIKI|District 1
10/07/2024   07:48:31  AM|VEH TOWED|4XX  NAHUA ST|WAIKIKI|District 6
10/07/2024   07:33:25  AM|MISC PUB|XX  N NIMITZ HWY|DOWNTOWN|District 1
10/07/2024   07:30:55  AM|RAPE|8XX  S KING ST|HONOLULU|District 1
10/07/2024   07:23:05  AM|THEFT|5801XX  WEHIWA PL|SUNSET|District 2
10/07/2024   07:13:18  AM|THEFT|6XX  CALIFORNIA AVE|WAHIAWA|District 2
10/07/2024   07:02:55  AM|MISC PUB|KUPUNA LOOP / KUPUOHI ST|WAIPAHU|District 3
10/07/2024   06:55:03  AM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
10/07/2024   06:46:48  AM|FRAUD|21XX  ALA WAI BLVD|WAIKIKI|District 6
